Player,Country,Birthdate,ResidencyFormer,Team,Residency,Role,FavChamps,RoleLast,IsRetired,ToWildrift,AllName,Birthdate__precision
Meliodas (Lin Jui-Lien),Taiwan,2001-12-22,Taiwan,,LMS,Bot,,Bot,1,0,Meliodas (Lin Jui-Lien),1
Melkior,Colombia,,,,Latin America,Mid,,Mid,0,0,Melkior,
Mellado,Spain,1998-10-04,,LVP,EMEA,Caster,,Caster,0,0,Mellado,1
Mellisan,Germany,1989-06-07,,,Europe,Support,Janna,Support,1,0,Mellisan,1
Melo,South Korea,,,,Korea,Bot,,Bot,1,0,Melo,
Meloco,Netherlands,1998-02-26,Europe,,EMEA,Support,,Support,0,0,Meloco,1
melody (Liu Yi-Fan),China,1999-07-29,,,China,Top,,Top,1,0,Melody (Liu Yi-Fan),1
melody (Liu Yi-Fan),China,1999-07-29,,,China,Top,,Top,1,0,Moledy,1
Melody (Melody Vargas),Colombia,2001-11-28,,Osaka,Latin America,Support,,Support,0,0,Melody (Melody Vargas),1
Melody (Melody Vargas),Colombia,2001-11-28,,Osaka,Latin America,Support,,Support,0,0,Melocoton,1
Melody (Melody Vargas),Colombia,2001-11-28,,Osaka,Latin America,Support,,Support,0,0,Melocotón Pon,1
Melody (Nguyễn Đức Mạnh),Vietnam,1990-05-29,Southeast Asia,Garena,Vietnam,Caster,,Caster,0,0,Melody (Nguyễn Đức Mạnh),1
Melody (Nguyễn Đức Mạnh),Vietnam,1990-05-29,Southeast Asia,Garena,Vietnam,Caster,,Caster,0,0,Duc Manh,1
Melody (Nguyễn Đức Mạnh),Vietnam,1990-05-29,Southeast Asia,Garena,Vietnam,Caster,,Caster,0,0,Đức Mạnh,1
Melody (Nguyễn Đức Mạnh),Vietnam,1990-05-29,Southeast Asia,Garena,Vietnam,Caster,,Caster,0,0,Mạnh Mèo,1
Melon (Alexis Barrachin),France,1995-12-27,Europe,MHSC Esport,EMEA,Mid,"Azir,Zoe,Viktor,LeBlanc",Mid,0,0,Melon (Alexis Barrachin),1
Melon (Chen Xi-Ning),China,,,,China,Bot,,Bot,1,0,Melon (Chen Xi-Ning),
Melon (Tsai Tsung-Yu),Taiwan,1996-09-17,,,LMS,Support,,Support,1,0,Melon (Tsai Tsung-Yu),1
Melon (Tsai Tsung-Yu),Taiwan,1996-09-17,,,LMS,Support,,Support,1,0,ThreshMelon,1
Melon (Zhong Wang),China,1995-10-26,,,China,Jungle,,Jungle,1,0,Melon (Zhong Wang),1
Melonik,Poland,2002-04-26,Europe,Zero Tenacity,EMEA,Top,,Top,0,0,Melonik,1
Melonik,Poland,2002-04-26,Europe,Zero Tenacity,EMEA,Top,,Top,0,0,Anonimowy,1
Melt,Japan,,,,Japan,Manager,,General Manager,1,0,Melt,
MeLTKeN,Hong Kong,1989-02-27,,,LMS,Bot,,Bot,1,0,MeLTKeN,1
MeLTKeN,Hong Kong,1989-02-27,,,LMS,Bot,,Bot,1,0,MeLTKeM,1
Melvin,Colombia,,,,Latin America,Jungle,,Jungle,1,0,Melvin,
Melvin,Colombia,,,,Latin America,Jungle,,Jungle,1,0,Melvln,
MélyaP,France,,,GWARDIAN BOX,EMEA,Mid,,Mid,0,0,MélyaP,
MélyaP,France,,,GWARDIAN BOX,EMEA,Mid,,Mid,0,0,Mathieuf,
Melzhet,Spain,1994-10-07,Europe,MAD Lions KOI,EMEA,Coach,,Head Coach,0,0,Melzhet,1
Memcük,Turkey,,,,Turkey,Top,,Top,1,0,Memcük,
Meme,Philippines,,,,SEA,Jungle,,Jungle,1,0,Meme,
MEMEME670,Canada,,,,North America,Support,,Support,1,0,MEMEME670,
Memento,Sweden,1995-12-20,Europe,,EMEA,Coach,"Lee Sin,Rek'Sai,Jarvan IV",Assistant Coach;Strategic Coach,0,0,Memento,1
Memento Mori,Morocco,1987-03-11,None,The Marshalls,EMEA,Coach,,Head Coach,0,0,Memento Mori,1
Memento Mori,Morocco,1987-03-11,None,The Marshalls,EMEA,Coach,,Head Coach,0,0,MementoMori,1
mementovivi,Italy,,Europe,42 Gaming,EMEA,Coach,,Head Coach,0,0,Mementovivi,
mementovivi,Italy,,Europe,42 Gaming,EMEA,Coach,,Head Coach,0,0,Memento Vivi,
Memory,China,1997-10-12,,,China,Top,,Top,1,0,Memory,1
Memory,China,1997-10-12,,,China,Top,,Top,1,0,Dark (Yang Ju-Bao),1
Memory,China,1997-10-12,,,China,Top,,Top,1,0,Memory1,1
Memory,China,1997-10-12,,,China,Top,,Top,1,0,欲,1
Memory (Liu Nian),China,,,,China,Bot,,Bot,1,0,Memory (Liu Nian),
Menace (Alexander Ozoline),,,Oceania,,PCS,Bot,,Bot,0,0,Menace (Alexander Ozoline),
Menace (Julien Gelinas),United States,,,Black Rock Esports,North America,Support,"Cassiopeia,Morgana",Mid,0,0,Menace (Julien Gelinas),
Menace (Julien Gelinas),United States,,,Black Rock Esports,North America,Support,"Cassiopeia,Morgana",Mid,0,0,Julien,
Menace (Julien Gelinas),United States,,,Black Rock Esports,North America,Support,"Cassiopeia,Morgana",Mid,0,0,Knewnaem,
Menace (Julien Gelinas),United States,,,Black Rock Esports,North America,Support,"Cassiopeia,Morgana",Mid,0,0,Zatsmod,
Menďo,Slovakia,2001-08-30,Europe,OGC Esports,EMEA,Coach,,Coach,0,0,Menďo,1
Mendyn,Czech Republic,,Europe,,EMEA,Mid,,Mid,0,0,Mendyn,
Meng (Romeo Benedicto),Philippines,,Southeast Asia,,SEA,Jungle,"Rengar,Karthus,Shyvana,Graves",Jungle,1,0,Meng (Romeo Benedicto),
mengchan,China,,,,China,Mid,,Mid,1,0,Mengchan,
MengYu,China,,,,China,Support,,Support,1,0,MengYu,
MeniinaMá,Brazil,,,,Brazil,Bot,,Bot,0,0,MeniinaMá,
meninamari,Brazil,2000-07-25,,,Brazil,Support,Rell,Support,1,0,Meninamari,1
Menjai,Denmark,,,,Europe,Bot,,Bot,1,0,Menjai,
Menjai,Denmark,,,,Europe,Bot,,Bot,1,0,Fischer (Sebastian Fischer),
Meño,Chile,,,,LAS,Bot,,Bot,1,0,Meño,
MeNoHaxor,United States,1994-11-16,,,North America,Support,"Thresh,Karma,Lulu,Janna",Support,1,0,MeNoHaxor,1
MenQ,Poland,1994-08-31,Europe,Team BDS,EMEA,Coach,,Assistant Coach,0,0,MenQ,1
Mental (American Player),United States,,,Guangdong Flying Tigers,North America,Support,"Amumu,Senna",Support,0,0,Mental (American Player),
Mental (American Player),United States,,,Guangdong Flying Tigers,North America,Support,"Amumu,Senna",Support,0,0,Mental (Noah Jarnigan),
Mental (An Hyo-yeon),South Korea,1983-05-22,,,Korea,Coach,,Coach,0,0,Mental (An Hyo-yeon),1
Mental (Jin Jeong-yong),South Korea,1993-07-12,,,Korea,Jungle,,Jungle,1,0,Mental (Jin Jeong-yong),1
Mental (Jin Jeong-yong),South Korea,1993-07-12,,,Korea,Jungle,,Jungle,1,0,진정용,1
Mental (Luan de Sanctis),Brazil,1994-06-25,,,Europe,Coach,"Shaco,Ezreal",Head Coach,1,0,Mental (Luan de Sanctis),1
Mentality (Wei Guan-Zhen),China,,,Invictus Gaming Young,China,Mid,,Mid,0,0,Mentality (Wei Guan-Zhen),
Mento,United States,,,,North America,Jungle,,Jungle,1,0,Mento,
Mentor,Greece,2001-12-20,Europe,Team Paradox,EMEA,Support,,Support,0,0,Mentor,1
Mentos,Greece,,,WLGaming Esports,EMEA,Mid,,Mid,0,0,Mentos,
Mentos,Greece,,,WLGaming Esports,EMEA,Mid,,Mid,0,0,FatherMentos,
Mentsvár,Hungary,1992-02-19,,,EMEA,Caster,"Annie,Xerath,Diana,Katarina",Caster,0,0,Mentsvár,1
Meoow,Portugal,,Europe,,EMEA,Top,,Top,0,0,Meoow,
MeoU,Vietnam,,Southeast Asia,,Vietnam,Jungle,,Jungle,1,0,MeoU,
MeoU,Vietnam,,Southeast Asia,,Vietnam,Jungle,,Jungle,1,0,Doremon,
Meowing Cat,United States,,,,North America,Support,,Support,1,0,Meowing Cat,
Meowri,Uruguay,,Latin America South,,Latin America,Coach,,Head Coach,1,0,Meowri,
Mephi,South Korea,,,,Korea,Bot,,Bot,1,0,Mephi,
Mephisto,France,1992-02-26,Europe,,EMEA,Coach,Zilean,Coach,0,0,Mephisto,1
Mephistopheles,United States,,,,North America,Jungle,,Jungle,0,0,Mephistopheles,
Meraiel,France,,,,Europe,Jungle,,Jungle,1,0,Meraiel,
Merao,Russia,1997-10-23,,,CIS,Jungle,,Jungle,1,0,Merao,1
Mercenary,Russia,2000-12-30,CIS,,EMEA,Support,Karma,Support,0,0,Mercenary,1
Mercia,Germany,2001-10-10,Europe,,EMEA,Bot,"Jinx,Kai'Sa",Bot,0,0,Mercia,1
Merciful,Puerto Rico,1999-10-08,,,Latin America,Top,,Top,1,0,Merciful,1
Merciless (Vaggelis Velonias),Greece,,,,Europe,Mid,,Mid,1,0,Merciless (Vaggelis Velonias),
Mercury (Marco Bucciarelli),Italy,2004-01-23,,Zena Esports Portugal,EMEA,Jungle,,Jungle,0,0,Mercury (Marco Bucciarelli),1
Mercy9,Turkey,2005-06-05,Turkey,,EMEA,Mid,,Mid,0,0,Mercy9,1
Mercy9,Turkey,2005-06-05,Turkey,,EMEA,Mid,,Mid,0,0,Merciless,1
Mercy9,Turkey,2005-06-05,Turkey,,EMEA,Mid,,Mid,0,0,Mercyy,1
Merit (Jang Jae-yeong),South Korea,2003-01-08,,,Korea,Bot,,Bot,0,0,Merit (Jang Jae-yeong),1
Merit (Jang Jae-yeong),South Korea,2003-01-08,,,Korea,Bot,,Bot,0,0,A AD (Jang Jae-yeong),1
Merit (Jang Jae-yeong),South Korea,2003-01-08,,,Korea,Bot,,Bot,0,0,AD (Jang Jae-yeong),1
Merit (Kim Young-min),South Korea,,,Joblife,Korea,Coach,,Scout,0,0,Merit (Kim Young-min),
Merit (Kim Young-min),South Korea,,,Joblife,Korea,Coach,,Scout,0,0,김영민,
Merlhin,France,,,GWARDIAN BOX,EMEA,Bot,,Bot,0,0,Merlhin,
Merlhin,France,,,GWARDIAN BOX,EMEA,Bot,,Bot,0,0,Merlin (Merlin Delattre),
Merlin,Netherlands,1998-11-27,Europe,24 7 Tower Dive,EMEA,Mid,,Mid,0,0,Merlin,1
Merlin,Netherlands,1998-11-27,Europe,24 7 Tower Dive,EMEA,Mid,,Mid,0,0,MerIın,1
Merlyy,Thailand,,Southeast Asia,,PCS,Jungle,,Jungle,1,0,Merlyy,
Merlyy,Thailand,,Southeast Asia,,PCS,Jungle,,Jungle,1,0,Lekhakul THANADON,
Merlyy,Thailand,,Southeast Asia,,PCS,Jungle,,Jungle,1,0,Mapier,
Merlyy,Thailand,,Southeast Asia,,PCS,Jungle,,Jungle,1,0,Merly,
Mero,Egypt,1996-03-20,,,None,Bot,"Vayne,Kalista,Kai'Sa",Bot,1,0,Mero,1
Mero,Egypt,1996-03-20,,,None,Bot,"Vayne,Kalista,Kai'Sa",Bot,1,0,Summoner Mero,1
Meron,Japan,1992-11-02,,,Japan,Bot,Miss Fortune,Bot,1,0,Meron,1
Meron,Japan,1992-11-02,,,Japan,Bot,Miss Fortune,Bot,1,0,Meromeron,1
Meron,Japan,1992-11-02,,,Japan,Bot,Miss Fortune,Bot,1,0,MMeron,1
Merpilian,United Kingdom,,Europe,,EMEA,Coach,,Positional Coach,0,0,Merpilian,
merrjerry,United States,,,,North America,Bot,,Bot,1,0,Merrjerry,
Mersa,Greece,2002-08-22,Europe,,EMEA,Support,Thresh,Support,0,0,Mersa,1
Mershak,Slovenia,,Europe,,EMEA,Bot,,Bot,0,0,Mershak,
Mert,Turkey,1991-07-11,Turkey,GIANTX,EMEA,Manager,,Team Manager,0,0,Mert,1
Mert,Turkey,1991-07-11,Turkey,GIANTX,EMEA,Manager,,Team Manager,0,0,Xihultas,1
Merty,Turkey,,,,EMEA,Support,,Support,0,0,Merty,
Meruem,South Korea,,,,North America,Bot,"Vayne,Caitlyn",Bot,1,0,Meruem,
Meruem,South Korea,,,,North America,Bot,"Vayne,Caitlyn",Bot,1,0,Cat8,
Meruem (Kim Seong-tae),South Korea,1999-08-10,,,Korea,Support,,Support,0,0,Meruem (Kim Seong-tae),1
Merza,Finland,1994-08-18,Europe,Epic Avalanche,EMEA,Mid,,Mid,0,0,Merza,1
Meshade,Turkey,2003-01-01,Turkey,,EMEA,Bot,,Bot,0,0,Meshade,1
Meslo,United States,2000-06-08,,Illinois State University,North America,Top,"Camille,Riven,Irelia,Qiyana",Mid,0,0,Meslo,1
mesmerism,United States,,,CCG Esports,North America,Coach,,Head Coach,0,0,Mesmerism,
mesmerism,United States,,,CCG Esports,North America,Coach,,Head Coach,0,0,Kodie,
Messages,United States,2001-04-25,,,North America,Mid,"Sylas,Graves,Corki,Kindred",Mid,0,0,Messages,1
Messclick,Greece,2002-02-28,Europe,LUCY (Greek Team),EMEA,Bot,"Tristana,Xayah,Jinx,Kai'Sa,Kalista,Ezreal,Vayne",Bot,0,0,Messclick,1
Messi,Mexico,,,,Latin America,Support,,Support,0,0,Messi,
Messi,Mexico,,,,Latin America,Support,,Support,0,0,Maiden,
Messi (Argentinian Player),Argentina,,,,LAS,Jungle,,Jungle,1,0,Messi (Argentinian Player),
Messi (Malthe Pedersen),Denmark,,Europe,,EMEA,Mid,,Mid,0,0,Messi (Malthe Pedersen),
Messi (Malthe Pedersen),Denmark,,Europe,,EMEA,Mid,,Mid,0,0,DunkenMessi,
Messi (Malthe Pedersen),Denmark,,Europe,,EMEA,Mid,,Mid,0,0,Hauch,
Messías,Spain,,Europe,,EMEA,Mid,,Mid,0,0,Messías,
Messina,Brazil,1999-03-31,,,Brazil,Coach,"Poppy,Karma,Kai'Sa",Head Coach,1,0,Messina,1
Messup,Macao,,,,LMS,Bot,,Bot,1,0,Messup,
Mestre,Brazil,1997-09-07,,,Brazil,Bot,"Ezreal,Xayah,Caitlyn",Bot,1,0,Mestre,1
MetaCaptive,Portugal,2002-05-03,Europe,,EMEA,Jungle,"Lillia,Graves,Poppy",Jungle,0,0,MetaCaptive,1
METAGOD,Uruguay,,,,LAS,Top,,Top,1,0,METAGOD,
Metalx,Netherlands,1990-06-11,,,Europe,Bot,"Ezreal,Graves",Bot,1,0,Metalx,1
Metalx,Netherlands,1990-06-11,,,Europe,Bot,"Ezreal,Graves",Bot,1,0,Metalxtc,1
MetalXR,Brazil,,,,Brazil,Top,,Top,1,0,MetalXR,
metanoia,,2004-03-10,,Hallow Crows,EMEA,Mid,,Mid,0,0,Metanoia,1
metanoid,Argentina,,,,LAS,Jungle,,Jungle,1,0,Metanoid,
Metanon,Norway,1998-12-23,Europe,,EMEA,Jungle,"Lucian,Akali,Ekko",Jungle,0,0,Metanon,1
Metanon,Norway,1998-12-23,Europe,,EMEA,Jungle,"Lucian,Akali,Ekko",Jungle,0,0,BendikAlvik,1
Metanon,Norway,1998-12-23,Europe,,EMEA,Jungle,"Lucian,Akali,Ekko",Jungle,0,0,Meta (Bendik Alvik),1
Metaphor,Canada,,,,North America,Jungle,,Jungle,1,0,Metaphor,
Meteor,China,1999-12-26,,LGD Gaming,China,Jungle,,Jungle,0,0,Meteor,1
Meteor,China,1999-12-26,,LGD Gaming,China,Jungle,,Jungle,0,0,Metoer,1
Meteoro,Mexico,,,,Latin America,Support,,Support,0,0,Meteoro,
Meteos,United States,1993-06-13,,Cloud9,North America,Streamer,"Elise,Nocturne,Nasus,Zac",Content Creator,0,0,Meteos,1
Meteos,United States,1993-06-13,,Cloud9,North America,Streamer,"Elise,Nocturne,Nasus,Zac",Content Creator,0,0,Short Dog,1
Metori,Chile,,Latin America South,,Latin America,Bot,"Ezreal,Lucian,Xayah",Bot,1,0,Metori,
Metori,Chile,,Latin America South,,Latin America,Bot,"Ezreal,Lucian,Xayah",Bot,1,0,METOR1,
MetroArcher,Portugal,,Europe,,EMEA,Bot,,Bot,0,0,MetroArcher,
Metroflox,France,,Europe,,EMEA,Jungle,,Jungle,0,0,Metroflox,
Metroid,Canada,,,,North America,Jungle,,Jungle,1,0,Metroid,
Metroid,Canada,,,,North America,Jungle,,Jungle,1,0,Super Metroid,
Mettalica,Portugal,1999-08-11,Europe,BWE Esports,EMEA,Mid,"Viktor,Akali,Zed,Jhin",Mid,0,0,Mettalica,1
Mettalica,Portugal,1999-08-11,Europe,BWE Esports,EMEA,Mid,"Viktor,Akali,Zed,Jhin",Mid,0,0,Metallica,1
Mettaz,Argentina,,,,LAS,Support,,Support,1,0,Mettaz,
Mettoe,Netherlands,2001-12-10,Europe,,EMEA,Mid,"Yone,Yasuo,Zed",Mid,0,0,Mettoe,1
Metys,Czech Republic,,Europe,,EMEA,Top,,Top,0,0,Metys,
MeW,Vietnam,1991-11-12,Southeast Asia,,Vietnam,Top,"Zyra,Thresh,Sona",Top,1,0,MeW,1
MeW,Vietnam,1991-11-12,Southeast Asia,,Vietnam,Top,"Zyra,Thresh,Sona",Top,1,0,Liy,1
Mewi,Italy,1990-12-05,,,Europe,Manager,"Rakan,Nami,Senna,Pyke",Manager,1,0,Mewi,1
Mewkyo,Brazil,1999-09-25,,Tropa Raizen,Brazil,Jungle,Volibear,Jungle,0,0,Mewkyo,1
Mewkyo,Brazil,1999-09-25,,Tropa Raizen,Brazil,Jungle,Volibear,Jungle,0,0,YSTM,1
MexanikCH,Kazakhstan,2001-10-31,CIS,,EMEA,Jungle,"Graves,Lee Sin,Kha'Zix",Jungle,0,0,MexanikCH,1
MexanikCH,Kazakhstan,2001-10-31,CIS,,EMEA,Jungle,"Graves,Lee Sin,Kha'Zix",Jungle,0,0,ABISHEV,1
MexanikCH,Kazakhstan,2001-10-31,CIS,,EMEA,Jungle,"Graves,Lee Sin,Kha'Zix",Jungle,0,0,Mehanik2,1
Mexi,Singapore,,Southeast Asia,,PCS,Bot,,Bot,1,0,Mexi,
Mexi,Singapore,,Southeast Asia,,PCS,Bot,,Bot,1,0,Mexi Lew,
Mexi,Singapore,,Southeast Asia,,PCS,Bot,,Bot,1,0,MEXILEW,
Mexi,Singapore,,Southeast Asia,,PCS,Bot,,Bot,1,0,MeXı,
Mey,Bolivia,1992-12-01,,,Europe,Jungle,"Kha'Zix,Lee Sin,Elise,Kindred,Nidalee,Rammus",Jungle,1,0,Mey,1
Meyerson,United States,2001-04-05,,Motion,North America,Support,Brand,Support,0,0,Meyerson,1
Meza,Egypt,1997-08-17,None,,EMEA,Mid,"Jayce,Yasuo,LeBlanc,Ryze",Mid,0,0,Meza,1
Meziljie,Sweden,,,,Europe,Top,,Top,1,0,Meziljie,
Mezza,Italy,2003-04-30,Europe,,EMEA,Support,"Thresh,Pyke,Seraphine,Rakan",Support,0,0,Mezza,1
MezzoSangue,Italy,1996-01-07,,,Europe,Top,"Irelia,Gangplank,Gnar,Camille",Top,1,0,MezzoSangue,1
mfis,,,,Dire Wolves,Asia Pacific,Mid,,Mid,0,0,Mfis,
MforMoon,Australia,,,,Oceania,Bot,,Bot,1,0,MforMoon,
MG (Lee Ji-hoon),South Korea,2002-06-03,,Twisted Minds,Korea,Mid,,Mid,0,0,MG (Lee Ji-hoon),1
MG (Mihai Gherunda),Romania,,Europe,,EMEA,Support,,Support,0,0,MG (Mihai Gherunda),
MG (Mihai Gherunda),Romania,,Europe,,EMEA,Support,,Support,0,0,Gheru,
Mgutis,United States,,,,North America,Jungle,,Jungle,0,0,Mgutis,
MGX,Turkey,2000-04-14,Turkey,,EMEA,Mid,,Mid,0,0,MGX,1
Mhiriga,Morocco,,,,None,Jungle,,Jungle,1,0,Mhiriga,
Mia,South Korea,1998-11-03,,,Korea,Support,"Fiddlesticks,Tahm Kench,Thresh,Alistar",Support,0,0,Mia,1
Mia,South Korea,1998-11-03,,,Korea,Support,"Fiddlesticks,Tahm Kench,Thresh,Alistar",Support,0,0,Darkcat,1
Mia,South Korea,1998-11-03,,,Korea,Support,"Fiddlesticks,Tahm Kench,Thresh,Alistar",Support,0,0,Sangin,1
Miah,Slovakia,1996-03-16,,,Europe,Mid,Nidalee,Mid,1,0,Miah,1
Miah,Slovakia,1996-03-16,,,Europe,Mid,Nidalee,Mid,1,0,Miahqtehteh,1
Mianare,Colombia,1999-12-15,Latin America North,,Latin America,Bot,"Lucian,Kai'Sa,Ezreal",Bot,1,0,Mianare,1
MiANe,Taiwan,,,,LMS,Jungle,,Jungle,1,0,MiANe,
Miang,Mexico,2004-06-18,,Team Anomaly Breaker,Latin America,Jungle,,Jungle,0,0,Miang,1
Miang,Mexico,2004-06-18,,Team Anomaly Breaker,Latin America,Jungle,,Jungle,0,0,Adry,1
Mianspho,Canada,1999-11-17,,,North America,Support,"Bard,Thresh,Pantheon",Support,1,0,Mianspho,1
Miaoniu,China,2001-05-20,,,China,Support,,Support,0,0,Miaoniu,1
MiaoXianRen,China,,,,China,Jungle,,Jungle,1,0,MiaoXianRen,
MiaoXianRen,China,,,,China,Jungle,,Jungle,1,0,Akuma (Wu Kuan),
MiaoXianRen,China,,,,China,Jungle,,Jungle,1,0,ErenJaeger,
Miara,Brazil,,,eWolves Ignis,Brazil,Top,Irelia,Top,0,0,Miara,
Miata,Slovakia,2002-02-15,,UNIZA Enigmas,EMEA,Jungle,,Jungle,0,0,Miata,1
Miazma,Australia,,,,Oceania,Bot,,Bot,1,0,Miazma,
Mica,Sweden,,Europe,,EMEA,Manager,,Manager,0,0,Mica,
micaO,Brazil,1996-09-05,,Liberty Academy,Brazil,Bot,"Aphelios,Ashe,Ezreal,Jhin",Bot,0,0,MicaO,1
micaO,Brazil,1996-09-05,,Liberty Academy,Brazil,Bot,"Aphelios,Ashe,Ezreal,Jhin",Bot,0,0,Mica0,1
MichelKLP,Germany,,Europe,NORD Esports,EMEA,Manager,,Co-Founder,0,0,MichelKLP,
MichelKLP,Germany,,Europe,NORD Esports,EMEA,Manager,,Co-Founder,0,0,Routins,
Michi,China,,,,China,Support,,Support,1,0,Michi,
Michi,China,,,,China,Support,,Support,1,0,Linger,
Michi,China,,,,China,Support,,Support,1,0,Roysen,
Michilin,Colombia,,,,Latin America,Manager,,Team Manager,1,0,Michilin,
Michlit,Poland,,Europe,,EMEA,Support,,Support,1,0,Michlit,
Michu,Poland,,Europe,,EMEA,Jungle,,Jungle,0,0,Michu,
Michu,Poland,,Europe,,EMEA,Jungle,,Jungle,0,0,Michulol,
Mick,Hungary,,,,Europe,Bot,,Bot,1,0,Mick,
Mickey (Jesse Clemmons),United States,,,,North America,Manager,,Manager,1,0,Mickey (Jesse Clemmons),
Mickey (Son Young-min),South Korea,1997-07-15,,,Korea,Mid,"Zed,Ahri",Mid,1,0,Mickey (Son Young-min),1
Mickey (Son Young-min),South Korea,1997-07-15,,,Korea,Mid,"Zed,Ahri",Mid,1,0,MickeyGod,1
Mickey (Son Young-min),South Korea,1997-07-15,,,Korea,Mid,"Zed,Ahri",Mid,1,0,메도우이헌터남친,1
Micro (Alexandre Gaspari),France,,,,Europe,Bot,,Bot,1,0,Micro (Alexandre Gaspari),
Micro (Daniel Sabrkesh),Sweden,,,,Europe,Bot,,Bot,1,0,Micro (Daniel Sabrkesh),
Micro (Kim Mok-kyoung),South Korea,1986-09-17,,DRX,Korea,Coach,,Head Coach,0,0,Micro (Kim Mok-kyoung),1
Micro (Richard Mendl),Czech Republic,,Europe,,EMEA,Coach,,Head Coach,0,0,Micro (Richard Mendl),
microlatios,Singapore,1991-04-19,,,SEA,Jungle,"Anivia,Ahri",Jungle,1,0,Microlatios,1
Miczek,Poland,2002-07-09,,Liga Grimm,EMEA,Caster,Renekton,Caster,0,0,Miczek,1
mid (Diego Jara),Chile,,,,LAS,Mid,,Mid,1,0,Mid (Diego Jara),
MID (Kim Jae-yoon),South Korea,2002-09-23,,,Korea,Mid,,Mid,0,0,MID (Kim Jae-yoon),1
MID (Kim Jae-yoon),South Korea,2002-09-23,,,Korea,Mid,,Mid,0,0,A MID (Kim Jae-yoon),1
MID (Kim Jae-yoon),South Korea,2002-09-23,,,Korea,Mid,,Mid,0,0,I kid,1
MID (Lee Dong-hoon),South Korea,2002-11-10,,Gen.G Academy,Korea,Mid,,Mid,0,0,MID (Lee Dong-hoon),1
MID Test (Cho Hyeon-seok),South Korea,,,,Korea,Mid,,Mid,0,0,MID Test (Cho Hyeon-seok),
Mid Test (Choi Ju-won),South Korea,2006-04-26,,,Korea,Mid,,Mid,0,0,Mid Test (Choi Ju-won),1
midali,Turkey,,Turkey,,EMEA,Mid,,Mid,0,0,Midali,
midali,Turkey,,Turkey,,EMEA,Mid,,Mid,0,0,Shoshin,
Midalia,Mexico,,,3v Team,Latin America,Mid,,Mid,0,0,Midalia,
Midas (Nathaniel Shearer),New Zealand,,,,Oceania,Top,,Top,1,0,Midas (Nathaniel Shearer),
Midas (Valentino Perissinotto),Italy,,,,EMEA,Coach,"Lee Sin,Vladimir,Morgana,Ryze",Coach,0,0,Midas (Valentino Perissinotto),
Midas (Valentino Perissinotto),Italy,,,,EMEA,Coach,"Lee Sin,Vladimir,Morgana,Ryze",Coach,0,0,Noxy,
Midas (Valentino Perissinotto),Italy,,,,EMEA,Coach,"Lee Sin,Vladimir,Morgana,Ryze",Coach,0,0,Perison,
Midbeast,Australia,1995-04-22,Oceania,Team Liquid,Asia Pacific,Streamer,"Ahri,Syndra,Zed,Twisted Fate",Streamer/Content Creator,0,0,Midbeast,1
Middlecott,United Kingdom,1997-08-19,Europe,,EMEA,Caster,"Sivir,Master Yi",Content Creator,0,0,Middlecott,1
Midget Gizmo,Portugal,1999-05-21,,Novasphere Gaming,North America,Coach,"Graves,Twitch,Rumble",Owner;Head Coach,0,0,Midget Gizmo,1
Midigo2,United States,,,,North America,Support,,Support,0,0,Midigo2,
Midir,South Korea,2006-10-15,,Nongshim RedForce Academy,Korea,Top,,Top,0,0,Midir,1
Midir,South Korea,2006-10-15,,Nongshim RedForce Academy,Korea,Top,,Top,0,0,Woolcon,1
Midkid,Turkey,,Turkey,,EMEA,Mid,,Mid,0,0,Midkid,
MidKing,South Korea,1992-06-15,,,Korea,Support,,Support,1,0,MidKing,1
MidKing,South Korea,1992-06-15,,,Korea,Support,,Support,1,0,Haiakan,1
MidKing,South Korea,1992-06-15,,,Korea,Support,,Support,1,0,Haikan,1
Midlord,China,,,,China,Coach,,Assistant Coach,0,0,Midlord,
Midnexus,South Korea,,,,Korea,Mid,,Mid,1,0,Midnexus,
Midnexus,South Korea,,,,Korea,Mid,,Mid,1,0,Nexus (Lee Jun-woo),
Mabud,United States,,,,North America,Top,,Top,0,0,Mabud,
Mac,United Kingdom,1994-02-13,Europe,Team Vitality,EMEA,Manager,,LEC Head Manager,0,0,Mac,1
Mac (Geordie McAleer),Australia,1992-01-08,Oceania,,PCS,Caster,"Kha'Zix,Shyvana,Volibear",Caster,0,0,Mac (Geordie McAleer),1
Mac (Geordie McAleer),Australia,1992-01-08,Oceania,,PCS,Caster,"Kha'Zix,Shyvana,Volibear",Caster,0,0,MacMate,1
Mac Abert,Germany,,Europe,,EMEA,Jungle,,Jungle,0,0,Mac Abert,
Mac Abert,Germany,,Europe,,EMEA,Jungle,,Jungle,0,0,Macabert,
Macaquiño,Spain,2003-07-30,Europe,TeamOrangeGaming,EMEA,Mid,"Akali,Katarina,Ahri",Mid,0,0,Macaquiño,1
Macaquiño,Spain,2003-07-30,Europe,TeamOrangeGaming,EMEA,Mid,"Akali,Katarina,Ahri",Mid,0,0,Macaco,1
Macarrón,Peru,,,,Latin America,Mid,,Mid,1,0,Macarrón,
MacCuin,Mexico,,LAN,,Latin America,Support,,Support,1,0,MacCuin,
Mace,Ecuador,,,,Latin America,Support,,Support,0,0,Mace,
Mace,Ecuador,,,,Latin America,Support,,Support,0,0,Maceta,
mace (Mason Korf),United States,,,Rochester University,North America,Support,,Support,0,0,Mace (Mason Korf),
