OverviewPage,Short,Location,Region,IsDisbanded,RenamedTo
University of Texas at Austin,UT,,North America,0,
University of Texas at Dallas,UTD,,North America,0,
University of Toronto,UT,,North America,0,
University of Toronto Scarborough,UTSC,,North America,1,
University of Washington,UW,,North America,0,
University of Waterloo,UW,,North America,0,
University of Western Ontario,UWO,,North America,0,
Unknowns Gamers,UKG,,Latin America,1,
Unlimited Potential,UP,China,China,1,
UnlockTan'i,UZT,Spain,EMEA,1,
Unlockzar,UZ,Spain,EMEA,1,
UnRestricted eSports,UNR,United States,North America,1,
Unsold Stuff Gaming,USG,Japan,Japan,1,
Upper Echelon,UE,Slovenia,Europe,1,
Uppercut esports,UP,,Brazil,1,
UQ Union,UQU,,Oceania,1,
UTM Esports,UTM,Vietnam,Vietnam,1,
UTS Esports,UTS,Australia,Oceania,1,
V Gaming,VGE,Vietnam,Vietnam,0,
V Gaming Adonis,VGA,,Vietnam,1,
V3 Esports,V3,Japan,Asia Pacific,0,
V3 Esports Academy,V3.A,Japan,PCS,0,
V3 Esports Youth,V3.Y,Japan,Japan,1,
V3 New Generation,V3NG,Japan,Japan,1,
V5 87,87,,China,1,Young Ninjas
V8 eSports,V8,North America,North America,1,
Vaevictis eSports,VS,Russia,CIS,1,
Vaevictis Syndicate,VVS,Russia,CIS,1,
Val 2.0 Valkyrie,VLV,South Africa,Africa,1,
Valencia CF eSports,VCF,Spain,Europe,1,
Valhalla Vikings,VV,Sweden,Europe,1,
Valiance,VPG,Croatia,EMEA,1,
Valkiria Esports,VLK,Poland,Europe,1,
Valorous,VAL,Chile,Latin America,1,
Valyrian Dragons,VD,Greece,Europe,1,
Vandals Esports,VAN,Dominican Republic,Latin America,1,
Vanir,VNR,Norway,EMEA,1,
Vanung Lion,VL,Taiwan,PCS,0,
Varona Esports,VAE,Portugal,EMEA,1,
VAULT,VLT,Colombia,Latin America,1,
VC Gaming,VC,China,China,1,
Vector Gaming,VG,United Kingdom,Europe,1,
Vega Squadron,VEG,Russia,CIS,1,
Vegas Inferno,INF,United States,North America,1,
Velocity eSports,VES,North America,North America,1,
Veni eSports,VENI,Austria,EMEA,0,
Veni Vidi Vici (Spanish Team),VVV,Spain,EMEA,0,
Venomcrest Esports,VNC,United Kingdom,EMEA,0,
Ventus Esports,VT,Denmark,Europe,1,
Venus (Turkish Team),VENS,,EMEA,0,
Verdant,VER,United Kingdom,EMEA,0,
Verity Esports,VE,United States,North America,1,
Vertex Esports Club,VTX,Australia,Asia Pacific,1,
Vestigial,VTL,Singapore,SEA,1,
Vexo eSports,VEXO,Canada,North America,1,
Vici Esports,VE,China,China,1,
Vici Gaming,VG,China,China,1,Rare Atom
Vici Gaming 2,VG 2,,China,0,
Vici Gaming Academy,VGA,,China,0,
Vici Gaming Potential,VGP,,China,1,Rare Atom Period
Vici Potential Gaming,VGP,China,China,1,Unlimited Potential
Vici Star Gaming,VG.S,China,China,1,Vici Gaming
Victorious Ace,VA,Turkey,Turkey,1,
Victorious Demons,VDS,Morocco,EMEA,0,
Victorious Gaming,VTG,China,China,1,
Victory Five,V5,Macao,China,1,Ninjas in Pyjamas.CN
Victory Song Gaming,VSG,China,China,1,
Vietnam Esports TV,VETV,Vietnam,Vietnam,0,
VietSun Esports,VSE,Vietnam,Vietnam,0,
Viking Esports (Norwegian Team),VIK,Norway,Europe,1,
Vikingekrig Academy,VIK.A,Czech Republic,Europe,1,
Vikingekrig Esports,VIK,Czech Republic,Europe,1,
Vikings Esports (2023 Vietnamese Team),VKE,Vietnam,Vietnam,0,
Vikings Gaming,HNV,,Vietnam,1,
Villarreal QLASH,VIL,Spain,EMEA,1,
Vince Te Ipsum Ignis,vTi Ignis,Brazil,Brazil,1,
Vince Te Ipsum Nox,vTi Nox,Brazil,Brazil,1,
VININE,V9,Germany,EMEA,0,
Viperio,VIP,United Kingdom,EMEA,1,
Vipers,VIPS,Costa Rica,Latin America,1,
Vipers Inc,VIP,Denmark,Europe,1,
Vireo.Pro,VIR,,North America,1,
Virginia Polytechnic Institute and State University,VT,,North America,0,
Virtual Esports,VTL,Canada,North America,0,
Virtual Reality Game,VRG,,China,1,
Virtuoso Gaming,VSG,South Korea,Korea,1,
Virtus Legion,VL,Argentina,LAS,1,
Virtus.pro,VP,Russia,CIS,1,
VIRUS (Greek Team),VS,Germany,Europe,1,
VIS eSports,VIS,Italy,Europe,1,
Visual Perception,VP,,EMEA,1,
VITA (Icelandic Team),VITA,Iceland,EMEA,1,
Vitality Rising Bees,VRB,France,EMEA,0,
Vitality.Bee,VITB,France,EMEA,0,
ViV Esport,ViV,France,EMEA,1,
Vivo Keyd,VK,Brazil,Brazil,1,Vivo Keyd Stars
Vivo Keyd Stars,VKS,Brazil,Brazil,0,
Vivo Keyd Stars Academy,VKS.A,Brazil,Brazil,0,
People's Red Wolf Gaming,PRW,China,China,1,
Pepehands,PEPE,United States,North America,1,
PepePo,PP,,North America,1,PepeTinkyWinky
PepeTinkyWinky,PPT,,North America,0,
Percent Esports,PER,Vietnam,Vietnam,1,Burst The Sky Esports
Perfectionvore,Pvore,Venezuela,LAN,1,
Pertinax Esports,PTX,,EMEA,0,
PEX Team,PEX,Mexico,Latin America,1,
Phelan Gaming,PHL,Republic of Ireland,Europe,1,
Phlox Gaming,PHX,Spain,EMEA,1,
Phoenix 5,PX5,,North America,1,
Phoenix Esports,PX,Indonesia,SEA,1,
Phoenix Esports (Turkish Team),PHX,Turkey,EMEA,0,
Phoenix1,P1,United States,North America,1,
Phong Vũ Buffalo,PVB,,Vietnam,1,Dashing Buffalo
Piast Gliwice Esports,PGE,Poland,Europe,1,Esports Academy
Pick Me Galio,PMG,,North America,0,
PIGSPORTS,PIG,,Europe,1,
Ping is the Problem,PIP,,North America,1,
Pirate Dream,PD,Ecuador,Latin America,1,Pirates IDV
Pirates IDV,IDV,Ecuador,Latin America,0,
Piratesports,ARR,Poland,EMEA,1,
Piratesports Academy,ARR.A,Poland,Europe,1,
PIRTS,PRT,,Europe,1,
Pixel Esports Club,PIX,,Latin America,1,
PKMaster,PKM,Taiwan,LMS,1,
PL Gaming,PL,Argentina,LAS,1,
Planetary Collision Esports,PCE,,North America,0,
Planetkey Dynamics,PKD,Germany,Europe,1,
PlaPro.c58,PPC58,Russia,CIS,1,
Play Again,PYN,Argentina,LAS,1,
Play With Soul,PWS,Czech Republic,Europe,1,
PlayArt Gaming,playArt,Brazil,Brazil,1,
Playing Ducks,PD,Germany,Europe,1,
Playing Ducks Europe,pD EU,Germany,Europe,1,
Plejehjemmet Kalder,PK,,Europe,1,
Pogoń Szczecin,POG,Poland,Europe,1,
Polar Ace,PA,,North America,1,
Polar Bears,PBR,,Europe,1,
Polar Squad Esports,PLS,Mexico,Latin America,0,
Polar Squad Esports Female,PLS.F,Mexico,Latin America,0,
Polaris Gaming,PG,Peru,Latin America,1,
Polska Gurom (EU Face-Off),POL,,Europe,1,
Pondok Gaming,Pondok,Indonesia,SEA,1,
Pookie Bears,BEAR,,North America,0,
Positive Energy,PE,China,China,1,
PostFinance Helix,PFX,Switzerland,Europe,1,
Power Team Sports,PWT,Brazil,Brazil,1,
Powned.it,PWN,,Europe,1,
Predators Academy,PDS.A,Costa Rica,Latin America,1,XTEN Mexico
Predators Esports,PDS,Mexico,Latin America,1,XTEN Esports
PRIDE (Polish Team),PRD,Poland,Europe,1,
PRIDE Academy,PRD.A,Poland,Europe,1,
PRIDE ESCA Academy,TEG.A,,Europe,1,
PrideFC,PFC,Europe,Europe,1,
PRIMATE,PMT,Argentina,Latin America,0,
Prime Clan,Prime,South Korea,Korea,1,
Prime Optimus,PO,South Korea,Korea,1,
PRINCIPALITY,PTY,Spain,EMEA,0,
PRO42,P42,Venezuela,Latin America,1,
Prodigy Esports,PRG,Brazil,Brazil,1,Vorax
ProGaming Esports,PRG,Brazil,Brazil,1,Prodigy Esports
Project Conquerors,PCS,France,EMEA,0,
Project Guardians,PG,Panama,Latin America,1,Gravity Elite
Project Sinners,PJS,,EMEA,0,
Protecting Guardians,PG,,Europe,1,Vigilantes
ProXima Gaming,PRX,Poland,Europe,1,
PSG Talon,PSG,Hong Kong,Asia Pacific,0,
PSG Talon Academy,PSG.A,Taiwan,Asia Pacific,0,
PSV Esports,PSV,Netherlands,Europe,1,
PSV Esports Academy,PSV.A,Netherlands,Europe,1,
Psykodelic Esports,PSK,Costa Rica,Latin America,1,
Public Enemy,PE,United Kingdom,Europe,1,
Pulse Esports,PS,North America,Europe,1,Departed
Pulse Gooners,PULS,,North America,0,
Pulse Star,PLS,,North America,0,
Pulse Star Academy,PSA,,North America,0,
Pulsia Esport,PL,France,Europe,1,Homyno Pulsia Esport
PunchLine Esport Club,pLine,France,Europe,1,
Puppies Esports,PES,Vietnam,Vietnam,0,
Purdue University,PU,,North America,0,
Purdue University Northwest,PNW,,North America,0,
Purple Haze Gaming,PH,Chile,LAS,1,
Pushing Gaming,PSH,Spain,Europe,1,
Pyrsos Esports,PRS,Greece,Europe,1,
QG Reapers,QGR,China,China,1,
Qiao Gu Reapers,QG,China,China,1,Newbee
Qing Jiu E-sport Club,Q9,China,China,1,
Qing Niao Yu Xing Game Team,QNG,China,China,1,
QLASH,QLS,Italy,EMEA,0,
QLASH Forge,Q4G,Italy,Europe,1,
QLASH Forge Academy,QFA,Italy,Europe,1,
QLASH MENA,QLM,Egypt,MENA,0,
QLASH Midnight,QLS.M,Italy,EMEA,1,
QLASH Spain,QLS,Italy,Europe,1,
Qmistry,QSY,Germany,EMEA,1,
QTV Gaming,QG,Vietnam,Vietnam,0,
Quantic Gaming,QTC,North America,North America,1,
Quantum Vortex,QVX,,Europe,1,
QUT Tigers,QUT,Australia,Oceania,1,
Quvic E-Sports,QVC,South Korea,Korea,1,
QWER.GG,QWER,South Korea,Korea,1,
R-SIXTEAM,R6T,Poland,Europe,1,
R3volt,R3V,United Kingdom,EMEA,0,
RA'AD,RAAD,Egypt,EMEA,0,
RabbitFive,RBF,Japan,Japan,1,
Racoon (Italian Team),RCN,Italy,Europe,1,
Radiance,RAD,,North America,1,
RAGE,RAGE,,North America,1,
Rainbow Warriors,RW,Vietnam,Vietnam,1,
Raise Gaming,RG,Taiwan,LMS,1,
Raizen E-Sports,ZEN,Brazil,Brazil,1,Tropa Raizen
Raizen Kicks,RZN.KCS,Brazil,Brazil,1,
Raleigh Black Flame,RBF,,North America,1,
Ramboot Club,RBT,Spain,EMEA,0,
Ramo Awake Gaming,AWK,Colombia,Latin America,1,
Rampage,RPG,Japan,Japan,1,PENTAGRAM
Rampage Quintet,RPG Q,Japan,Japan,1,
RAMS,RAMS,Czech Republic,Europe,1,
Random 5,R5,,EMEA,0,
Ranking Esports,RK,Vietnam,Vietnam,0,
Rare Atom,RA,China,China,0,
Rare Atom Period,RAP,China,China,0,
Rascal Jester,RJ,Japan,Japan,1,FENNEL
Rascal Jester Academy,RJ.A,,Japan,1,FENNEL Academy
RATE Gaming,RATE,Denmark,EMEA,0,
Ravioli Ravioli,RR,,Europe,1,
RAWR ShadowZ Fan Club,SZFC,,North America,0,
Rayunion,RAY,China,China,1,
Razor's Edge Gaming,REG,Greece,Europe,1,
RBG Esports,RBG,,North America,1,
RCSC E-sport,RCSC,,Europe,1,
RCTIC eSports,RCTIC,Finland,Europe,1,
Reapers Gaming (Italian Organisation),RPS,Italy,EMEA,1,
Reason Gaming,RG,United Kingdom,Europe,1,
Rebels Anarchy,RANC,South Korea,Korea,1,Afreeca Freecs
Rebels Gaming,RBLS,Spain,EMEA,0,
Rebirth eSports,RBT,Chile,Latin America,1,
Reborn Esport,RBG,,Asia Pacific,0,
REC by Shadow,REC,,Europe,1,
RED Academy,RED.A,,Brazil,0,
Red Arrows Team,RedA,Colombia,LAN,1,
Red Bulls,RB,Europe,Europe,1,
RED Canids,RED,Brazil,Brazil,0,
Red Eye Esports,RDY,Peru,Latin America,0,
Red Rooster Team,RRR,Puerto Rico,Latin America,1,
ReDefy Esports,RD,United States,North America,1,
Redemption (North American Team),RDM,,North America,1,
Redemption Arc,RA,,North America,1,
Redemption eSports Porto Alegre,RDP,,Brazil,1,
Reflex Esport Club,RFX,France,Europe,1,
Reformed Gaming,RG,Greece,Europe,1,
Regular Team,RT,Colombia,Latin America,1,
Reign (European Team),RGN,Europe,Europe,1,
Rejects Gaming,RJX,Greece,Europe,1,Pentagon Rejects
Relic Esports,RLC,,Europe,1,Nash Ξquilibrium
Reload eSports,RLD,Australia,Oceania,1,
ReluminateGG,REL,,North America,0,
Renegades,REN,North America,North America,1,
Renegades of Hell,RoH,Chile,LAS,1,
Renegades: Banditos,RNB,Europe,Europe,1,Misfits Gaming
Rensga Academy,RNS.A,Brazil,Brazil,1,
Rensga Esports,RNS,Brazil,Brazil,1,
Repre Gold,RPG,Czech Republic,EMEA,1,
Resolve,RSV,United Kingdom,Europe,1,
Resolve Academy,RSV.A,United Kingdom,Europe,1,
Resolve Blue,RSV.B,United Kingdom,Europe,1,
Resolve NA,RSV.NA,United Kingdom,North America,1,
Respawn Esports,RSP,,Latin America,1,
Rest In Pepperonis,REST,Europe,Europe,1,
Resurgence,RSG,Singapore,Asia Pacific,1,
Retric eSports,Retric,Greece,Europe,1,
Return of the Middlesticks,ROTM,,North America,1,
Reven Esports,RVN,Mexico,Latin America,1,
Revenge (British Team),RVG,United Kingdom,Europe,1,
Revenge eSports,RvG e,Peru,LAN,1,
Revenger (Chinese Team),RVGR,China,China,1,
REVERSE Gaming,RGA,South Korea,Korea,1,
REViTAL BLACKTRAiNS,RBT,Czech Republic,EMEA,0,
Revival (North American Team),RVL,United States,North America,1,
Revolt Gentlemen E-Sports Club EUNE,RGESC EUNE,Turkey,Europe,1,
Revolt Gentlemen E-Sports Club EUW,RGESC EUW,Turkey,Europe,1,
Rex Regalis,REX,United States,North America,1,
RFLX Gaming,RFLX,United States,North America,1,
Rich Gang,RG,Australia,Oceania,1,
Rich Gang (Norwegian Team),RG,Norway,EMEA,0,
Riddle Esports,RDL,Norway,EMEA,1,
Riddle Esports Academy,RDLA,Norway,Europe,1,
Riddle NO,RDL,Norway,EMEA,0,
RIFT Esports,RIFT,Hungary,Europe,1,
Rift Rats,RR,Czech Republic,Europe,1,
Rift Sloths,RIFT,Luxembourg,EMEA,0,
Rigas In Paris,RIP,,EMEA,1,
Rise Gaming,RSE,Brazil,Brazil,0,
Rise Gaming Ignis,RISE.I,Brazil,Brazil,0,
Risen Esports,RSN,,North America,0,
Rising Dawn Esports,RDE,Sweden,Europe,1,
Rising On Gaming,ONR,Brazil,Brazil,1,
Rising Star Gaming,RSG,South Korea,Korea,1,Rising SuperStar Gaming
Rising SuperStar Gaming,RSG,South Korea,Korea,1,
RisingStars Gaming,RSG,China,China,1,
River Plate Gaming,RIV,,Latin America,1,
RMA e-Sports,RMA,Brazil,Brazil,1,Brave e-Sports
RMIT Redbacks,RMIT,Australia,Oceania,1,
RNL ROAR,ROAR,Germany,EMEA,0,
Roar (Chinese Team),RR,Canada,North America,1,
Robert Morris University Illinois,RMU,,North America,1,Roosevelt University
Robot E-Sports Team,BOT,Brazil,Brazil,1,
Rochester Institute of Technology,RIT,,North America,0,
Rock Bottom Esports,ROCK,,North America,1,
Rock Solid,RS,North America,North America,1,
Rockhead,RHD,South Korea,Korea,1,
RockTribeEsports,RTE,,North America,1,
ROG Esport,ROG,France,Europe,1,
Rogue (European Team),RGE,United States,EMEA,0,
Rogue Esports Club,REC,United States,Europe,1,AGO ROGUE
Rogue Stars,RGS,United States,Europe,1,
Rogue Warriors,RW,China,China,1,
Rogue Warriors Shark,RWS,China,China,1,
Romulea eSport,RML,Italy,Europe,1,
ROSSMANN Centaurs,ROSS,Germany,EMEA,0,
RoughNeX,RNX,Europe,Europe,1,
RoX (2014 CIS Team),RoX,Russia,CIS,1,
ROX COOL,ROX.A,South Korea,Korea,0,
ROX Tigers,ROX,South Korea,Korea,1,
Royal Bandits,RBE,Turkey,Turkey,1,Royal Youth
Royal Club,RYL,China,China,0,
Royal Club Tian Ci,RCTC,China,China,1,
Royal Gamers,RG,,Europe,1,
Royal Never Give Up,RNG,China,China,0,
Royal Paladin eSports,RPE,Argentina,LAS,1,
Royal Paladin eSports Eclipse,RPE.E,Chile,LAS,1,
Royal Penguins,RP,Peru,Latin America,1,
Royal Youth,RYL,Turkey,Turkey,1,NASR eSports Turkey
Royal Youth Academy,RY.A,Turkey,Turkey,1,
RPG-KINGDOM,RKNG,Japan,Japan,1,
RQS Esports,RQS,,EMEA,0,
RSC Anderlecht Esports,RSCA,,Europe,1,
RtN Gaming,RtN,Argentina,LAS,1,
Ruddy Esports,RUD,United Kingdom,EMEA,0,
RUDE GAME,RUDE,Brazil,Brazil,1,
RULE,RULE,Germany,Europe,1,Sprout (German Team)
Rulers Esports,RLS,Czech Republic,Europe,1,
RunAway,RNW,South Korea,Korea,1,
RusherX Gaming,RXG,Colombia,Latin America,1,
Russian Force,RF,Russia,CIS,1,
Ruzeh Esports,RZH,,EMEA,0,
S2N Esports Club,S2N,Uruguay,Latin America,1,
S2V Esports,S2V,Spain,Europe,1,
S2V Esports Academy,S2V.A,Spain,Europe,1,
S2V Esports Female,S2V.F,Spain,Europe,1,
Sahara Warriors,SW,Morocco,MENA,1,
Saigon Buffalo,SGB,,Vietnam,1,Vikings Esports (2023 Vietnamese Team)
Saigon Fantastic Five,SF5,Vietnam,SEA,1,
Saigon Jokers,SAJ,Vietnam,SEA,1,
Saigon Mongaming,SGM,Vietnam,SEA,1,
Saikyo Makinyan,SKM,Japan,Japan,1,
SAIM SE,ŠSE,Serbia,Europe,1,
SAIM SE SuppUp,SSU,Serbia,Europe,1,
Saint Gaming,SAT,China,China,1,
Saint Louis University,SLU,,North America,0,
Salade Tomate Oignon,STO,France,Europe,1,
Salvage Javelin,SJ,Japan,Japan,1,
Samadder Gaming,SMG,North America,North America,1,
SAMCLAN Esports Club,SAM,Portugal,EMEA,0,
Sample Text,Sample,Poland,Europe,1,
Samsung Blue,SSB,South Korea,Korea,1,
Samsung Galaxy,SSG,South Korea,Korea,1,
Samsung Morning Stars,SMS,Italy,Europe,1,
Samsung White,SSW,South Korea,Korea,1,
Samurai in Jeans,SAMU,Europe,Europe,1,
San Jose State University,SJSU,,North America,0,
Sangal Esports,SNG,Turkey,Europe,1,
SanHe Gaming,SHG,,China,1,
Sansin Gavin,SSG,Taiwan,Asia Pacific,0,
Santiago Wanderers eSports,SW,,Latin America,1,
Santos Dexterity,S deX,Brazil,Brazil,1,Dexterity Team
Santos e-Sports,SAN,Brazil,Brazil,1,
Saprissa Esports,SAP,Costa Rica,Latin America,1,
Satori,Satori,Mexico,LAN,1,
Satori Red,Satori.R,Mexico,LAN,1,
Savage (Latin American Team),SVG,Argentina,Latin America,1,
Savannah College of Art and Design,SCAD,,North America,0,
SAW (Portuguese Team),SAW,Portugal,EMEA,1,
SBENU Korea,SBK,South Korea,Korea,1,
SBTC Esports,SE,Vietnam,Vietnam,1,
SBTC Esports Academy,SEA,Vietnam,Vietnam,0,
SCARZ,SZ,Japan,Japan,1,
SCARZ Burning Core,SZBC,Japan,Japan,1,
Scorpio Game,SG,China,China,1,
Scouting4ProScene,S4PS,,North America,0,
Se Loco Cachorreira,SLC,Brazil,Brazil,1,
Sea Dogs,SD,,North America,1,
SEA Serpents,SS,Thailand,SEA,1,
SeaDoggos,SEAD,Ukraine,CIS,1,
Seagate Hope,STX.H,Taiwan,LMS,1,
Seattle Ferocity,SF,United States,North America,1,
Sector 7,S7,,North America,1,
Sector One,S1,Belgium,EMEA,1,
Sector One Academy,S1.Acad,Belgium,Europe,1,
Sector One Black,S1B,Belgium,Europe,1,
Sector One Fox,S1.F,Belgium,Europe,1,
Seed 32,S32,,North America,0,
SEM9,S9,Malaysia,PCS,1,SEM9 WPE
SEM9 WPE,S9W,Malaysia,PCS,1,West Point Esports Philippines
Sengoku Gaming,SG,Japan,Asia Pacific,0,
Sengoku Gaming Academy,SG.A,Japan,Asia Pacific,1,
Senshi eSports (Benelux Team),SEN,Netherlands,EMEA,0,
Senshi Esports Club,SEC,Portugal,EMEA,0,
Sentinels ESC,SNT,Australia,Oceania,1,
SeolHaeOne Prince,SP,South Korea,Korea,1,
Seorabeol Gaming,SRB,South Korea,Korea,1,ESC Shane
Seoul Neon,SLN,South Korea,Korea,0,
SeQura ZEST,ZEST,Spain,EMEA,1,
Serena Five,S5,Chile,LAS,1,
Seven Wars e-Sports,7w,Brazil,Brazil,1,
Seven Wars Lyon,7w Lyon,Mexico,LAN,1,
SGA (Korean Team),SGA,South Korea,Korea,0,
ShaBoingBoing Esports,SBB,,North America,0,
Shadow Academy,SHA.A,South Korea,Korea,0,
Shadow Anyche,SDA,South Korea,Korea,1,
Shadow Battlica,SBT,South Korea,Korea,1,
Shadow Battlica Y,SBY,South Korea,Korea,1,
Shadow Boxing,SBX,South Korea,Korea,1,
Shadow Cool,SHA.CL,South Korea,Korea,1,
Shadow Corp,SHA,South Korea,Korea,0,
Shadow Cream,SC,China,China,1,
Shadow Dawn,SDD,South Korea,Korea,1,
Shadow Deeplol,SDP,South Korea,Korea,1,
Shadow Dreamer,SD,South Korea,Korea,1,
Shadow EK,SEK,South Korea,Korea,1,
Shadow ELG,SELG,South Korea,Korea,0,
Shadow fOu,SFOU,South Korea,Korea,1,
Shadow GT,SHA.GT,South Korea,Korea,1,
Shadow IBJ,SIJ,South Korea,Korea,1,
Shadow LNG,SLNG,South Korea,Korea,1,
Shadow New,SNEW,South Korea,Korea,1,
Shadow RGS,RGS,South Korea,Korea,1,
Shadow SF,SSF,South Korea,Korea,1,
Shadow Zero,SZR,South Korea,Korea,1,
Shadowban,SWB,Spain,Europe,1,
Sharks Esports Team,SHK,Portugal,Europe,1,
SHEINOO,SN,China,China,1,
Sheng Jie Gaming,SJG,China,China,1,
Shih Hsin Meow Meow,SHU,Taiwan,Asia Pacific,1,
Shining Stars,SST,Spain,EMEA,1,
Shock Gaming,Shock,,Brazil,1,
Shopify Rebellion,SR,Canada,North America,0,
Shot 2 Kill,S2K,,MENA,1,
ShowTime,ST,China,China,1,
Shu Dai Xiong Gaming,SDX,,China,1,
Si Yi Xuan E-Sport,SYX,China,China,1,
Sick Ducks,6DK,Thailand,SEA,1,
Sign Us Please,SUP,,North America,1,
Silent Revolution Gaming,SRG,,EMEA,1,
SILENTGAMING,SLNT,Switzerland,Europe,1,
Silver Crows,SC,South America,LAN,1,
Silver Wolves,SW,Belgium,EMEA,1,
Simon Fraser University,SFU,Canada,North America,0,
Simplicity Esports,SMP,North America,North America,1,
Simplicity Gaming,SPL,Tunisia,MENA,0,
Simplicity Gaming Elite,SPL.E,Tunisia,MENA,1,
Sin Academy,SNA,Australia,Oceania,1,
Sin Gaming,SIN,Australia,Oceania,1,
Sinelight,SL,Thailand,SEA,1,
Singapore Sentinels,SGS,Singapore,SEA,1,
Single Target Healing,STH,,North America,1,
Sinisters,SNS,Argentina,Latin America,1,
SINNERS Esports,SIN,Czech Republic,EMEA,1,
Sinners Never Sleep,SNS,Europe,Europe,1,
SinoDragon Gaming,SDG,,China,1,Dominus Esports
SinoDragon Prince,SDP,,China,1,Dominus Esports Young
Six Karma,6K,Mexico,Latin America,0,
SK Gaming,SK,Germany,EMEA,0,
SK Gaming Avarosa,SK.A,Germany,EMEA,0,
SK Gaming Prime,SKP,Germany,EMEA,0,
SK Telecom T1,SKT,South Korea,Korea,1,T1
SK Telecom T1 K,SKT K,South Korea,Korea,1,
SK Telecom T1 S,SKT S,South Korea,Korea,1,
Skull Cracker,SKC,,Latin America,1,
Sky Gaming,SGD,Vietnam,Vietnam,1,
Slash Lions,SL,Tunisia,EMEA,0,
Slaughter House,SH,,North America,1,
Sleepy Callers,EEPY,,North America,1,
SLO REJECTS,SLR,,Europe,1,
SLR,SLR,Greece,Europe,1,
Smash It Down,SID,South Korea,Japan,1,
Smoke Tram,SMKTM,Brazil,Brazil,0,
Smoking Hot Candies,SHCS,Malaysia,SEA,1,
Snake Esports,SS,China,China,1,LNG Esports
Snake Honor Esports,SHE,China,China,1,
Snake WuDu,SWD,,China,1,LNG Academy
SNOGARD Dragons,SNO,Germany,Europe,1,
SNOOZE Esports,SNZ,Luxembourg,EMEA,0,
Snowman Slammers,SNOW,,North America,1,
Society of Worth Assessing Gentlemen,S.W.A.G.,North America,North America,1,
SolaFide Esports,SF,,North America,1,
SolarWind,SOL,Europe,CIS,1,
Solary,SLY,France,EMEA,0,
Solary Academy,SLY.A,France,EMEA,0,
Solary Legends,SLY.L,France,Europe,1,
Solwing Esports,sW,,Europe,1,Aethra Esports
Sons of Tzu Gaming,TZU,Brazil,Brazil,1,
Sour Savoury,SrS,United Kingdom,Europe,1,
SOVEJA,SVJ,Romania,Europe,1,
Sovereign,SVR,Singapore,SEA,1,
Sovereign Black,SVB,Singapore,SEA,1,Sovereign
Sølvkikkert Esports,SØK,Denmark,Europe,1,Ventus Esports
Space eSports,SPE,Mexico,LAN,1,
Spain5,SP5,Spain,Europe,1,
Spandauer Inferno,SPIN,Germany,Europe,1,
Sparx Esports,SPX,Switzerland,Europe,1,
Spear Gaming,SPG,South Korea,Korea,0,
Spectacled Bears,SB,Peru,Latin America,0,
SPGeSports,SPG,Switzerland,Europe,1,
Spicy Gorillas,SCG,,EMEA,1,
SPIKE Syndicate,SPK,Slovenia,EMEA,0,
Spinebusters E-Sport,SP,Germany,EMEA,0,
Spirituals,STS,Colombia,Latin America,0,
Split Raiders,STR,Croatia,Europe,1,
Splyce,SPY,Canada,Europe,1,MAD Lions
Splyce Vipers,SVP,Canada,Europe,1,
Sport Boys Association,SBA,Peru,Latin America,1,
Sprout (German Team),SPT,Germany,EMEA,1,
Spy Dolphins,SD,Chile,LAS,1,
SQUARE (Korean Team),SQ,South Korea,Korea,1,
Square Duck,SQUA,North America,North America,1,
Srdce nehasnou,SN,Czech Republic,Europe,1,
St. Clair College,SCC,,North America,0,
Stade Tunisien Esports,ST,Tunisia,EMEA,0,
Stand Point Gaming,SPG,China,China,1,
STAR (Russian Team),STAR,Russia,CIS,1,
Stardust (Korean Team),STD,South Korea,Korea,1,APK Prince
Starlan Gaming Club,SGC,,Europe,1,
Starlan Gaming Club Academy,SGC.A,,Europe,1,
Stars (LCF Team),Stars,Europe,Europe,1,
StarTale,ST,South Korea,Korea,1,
State University of New York at Buffalo,UB,,North America,0,
Steak Frites,SDF,,North America,1,
SteelWolves Gaia,XSW,Philippines,SEA,1,
Steve Bakes Cookies,STEV,Europe,Europe,1,
Stone Movistar,STM,Argentina,Latin America,1,
STOPWATCH eSports (Czech Team),STW,Czech Republic,EMEA,1,
Storm (North American Team),STR,United States,North America,1,
Storm Games Clan,SGC,Slovakia,Europe,1,
Storm Teams,STT,Taiwan,Asia Pacific,0,
Stormbringers,STB,Spain,EMEA,0,
STRAT Esport,STRAT,France,Europe,1,
STRAW,STRAW,Italy,EMEA,0,
Straw Hat Crew,SHC,,North America,0,
Striking Vipers,SV,United States,North America,1,
Striking Vipers Champions,SVC,United States,North America,1,
Striking Vipers Maestros,SVM,United States,North America,1,
STXP,STXP,,North America,1,
Submarines,SMR,Taiwan,LMS,1,
Submarino Stars,SUB,Brazil,Brazil,1,
Sudden Fear,SF,Australia,Oceania,1,
Summon Aery (Lebanese Team),SA,Lebanon,MENA,1,
Suning,SN,China,China,1,
Suning-S,SNS,China,China,1,
Suns Gos Hawk,SGH,Taiwan,LMS,1,
SunSister ReUnion,SSR,Japan,Japan,1,
SUPA HOT CREW,SHC,Europe,Europe,1,
Supay Gaming,SGM,Chile,Latin America,1,
Super Nova Academy,SN.A,North America,North America,0,
Super Nova Sentinels,SN.S,,North America,1,
Super Star Destroyers,SSD,Vietnam,Vietnam,1,
