OverviewPage,Short,Location,Region,IsDisbanded,RenamedTo
University of Texas at Austin,UT,,North America,False,
University of Texas at Dallas,UTD,,North America,False,
University of Toronto,UT,,North America,False,
University of Toronto Scarborough,UTSC,,North America,True,
University of Washington,UW,,North America,False,
University of Waterloo,UW,,North America,False,
University of Western Ontario,UWO,,North America,False,
Unknowns Gamers,UKG,,Latin America,True,
Unlimited Potential,UP,China,China,True,
UnlockTan'i,UZT,Spain,EMEA,True,
Unlockzar,UZ,Spain,EMEA,True,
UnRestricted eSports,UNR,United States,North America,True,
Unsold Stuff Gaming,USG,Japan,Japan,True,
Upper Echelon,UE,Slovenia,Europe,True,
Uppercut esports,UP,,Brazil,True,
UQ Union,UQU,,Oceania,True,
UTM Esports,UTM,Vietnam,Vietnam,True,
UTS Esports,UTS,Australia,Oceania,True,
V Gaming,VGE,Vietnam,Vietnam,False,
V Gaming Adonis,VGA,,Vietnam,True,
V3 Esports,V3,Japan,Asia Pacific,False,
V3 Esports Academy,V3.A,Japan,PCS,False,
V3 Esports Youth,V3.Y,Japan,Japan,True,
V3 New Generation,V3NG,Japan,Japan,True,
V5 87,87,,China,True,Young Ninjas
V8 eSports,V8,North America,North America,True,
Vaevictis eSports,VS,Russia,CIS,True,
Vaevictis Syndicate,VVS,Russia,CIS,True,
Val 2.0 Valkyrie,VLV,South Africa,Africa,True,
Valencia CF eSports,VCF,Spain,Europe,True,
Valhalla Vikings,VV,Sweden,Europe,True,
Valiance,VPG,Croatia,EMEA,True,
Valkiria Esports,VLK,Poland,Europe,True,
Valorous,VAL,Chile,Latin America,True,
Valyrian Dragons,VD,Greece,Europe,True,
Vandals Esports,VAN,Dominican Republic,Latin America,True,
Vanir,VNR,Norway,EMEA,True,
Vanung Lion,VL,Taiwan,PCS,False,
Varona Esports,VAE,Portugal,EMEA,True,
VAULT,VLT,Colombia,Latin America,True,
VC Gaming,VC,China,China,True,
Vector Gaming,VG,United Kingdom,Europe,True,
Vega Squadron,VEG,Russia,CIS,True,
Vegas Inferno,INF,United States,North America,True,
Velocity eSports,VES,North America,North America,True,
Veni eSports,VENI,Austria,EMEA,False,
Veni Vidi Vici (Spanish Team),VVV,Spain,EMEA,False,
Venomcrest Esports,VNC,United Kingdom,EMEA,False,
Ventus Esports,VT,Denmark,Europe,True,
Venus (Turkish Team),VENS,,EMEA,False,
Verdant,VER,United Kingdom,EMEA,False,
Verity Esports,VE,United States,North America,True,
Vertex Esports Club,VTX,Australia,Asia Pacific,True,
Vestigial,VTL,Singapore,SEA,True,
Vexo eSports,VEXO,Canada,North America,True,
Vici Esports,VE,China,China,True,
Vici Gaming,VG,China,China,True,Rare Atom
Vici Gaming 2,VG 2,,China,False,
Vici Gaming Academy,VGA,,China,False,
Vici Gaming Potential,VGP,,China,True,Rare Atom Period
Vici Potential Gaming,VGP,China,China,True,Unlimited Potential
Vici Star Gaming,VG.S,China,China,True,Vici Gaming
Victorious Ace,VA,Turkey,Turkey,True,
Victorious Demons,VDS,Morocco,EMEA,False,
Victorious Gaming,VTG,China,China,True,
Victory Five,V5,Macao,China,True,Ninjas in Pyjamas.CN
Victory Song Gaming,VSG,China,China,True,
Vietnam Esports TV,VETV,Vietnam,Vietnam,False,
VietSun Esports,VSE,Vietnam,Vietnam,False,
Viking Esports (Norwegian Team),VIK,Norway,Europe,True,
Vikingekrig Academy,VIK.A,Czech Republic,Europe,True,
Vikingekrig Esports,VIK,Czech Republic,Europe,True,
Vikings Esports (2023 Vietnamese Team),VKE,Vietnam,Vietnam,False,
Vikings Gaming,HNV,,Vietnam,True,
Villarreal QLASH,VIL,Spain,EMEA,True,
Vince Te Ipsum Ignis,vTi Ignis,Brazil,Brazil,True,
Vince Te Ipsum Nox,vTi Nox,Brazil,Brazil,True,
VININE,V9,Germany,EMEA,False,
Viperio,VIP,United Kingdom,EMEA,True,
Vipers,VIPS,Costa Rica,Latin America,True,
Vipers Inc,VIP,Denmark,Europe,True,
Vireo.Pro,VIR,,North America,True,
Virginia Polytechnic Institute and State University,VT,,North America,False,
Virtual Esports,VTL,Canada,North America,False,
Virtual Reality Game,VRG,,China,True,
Virtuoso Gaming,VSG,South Korea,Korea,True,
Virtus Legion,VL,Argentina,LAS,True,
Virtus.pro,VP,Russia,CIS,True,
VIRUS (Greek Team),VS,Germany,Europe,True,
VIS eSports,VIS,Italy,Europe,True,
Visual Perception,VP,,EMEA,True,
VITA (Icelandic Team),VITA,Iceland,EMEA,True,
Vitality Rising Bees,VRB,France,EMEA,False,
Vitality.Bee,VITB,France,EMEA,False,
ViV Esport,ViV,France,EMEA,True,
Vivo Keyd,VK,Brazil,Brazil,True,Vivo Keyd Stars
Vivo Keyd Stars,VKS,Brazil,Brazil,False,
Vivo Keyd Stars Academy,VKS.A,Brazil,Brazil,False,
People's Red Wolf Gaming,PRW,China,China,True,
Pepehands,PEPE,United States,North America,True,
PepePo,PP,,North America,True,PepeTinkyWinky
PepeTinkyWinky,PPT,,North America,False,
Percent Esports,PER,Vietnam,Vietnam,True,Burst The Sky Esports
Perfectionvore,Pvore,Venezuela,LAN,True,
Pertinax Esports,PTX,,EMEA,False,
PEX Team,PEX,Mexico,Latin America,True,
Phelan Gaming,PHL,Republic of Ireland,Europe,True,
Phlox Gaming,PHX,Spain,EMEA,True,
Phoenix 5,PX5,,North America,True,
Phoenix Esports,PX,Indonesia,SEA,True,
Phoenix Esports (Turkish Team),PHX,Turkey,EMEA,False,
Phoenix1,P1,United States,North America,True,
Phong Vũ Buffalo,PVB,,Vietnam,True,Dashing Buffalo
Piast Gliwice Esports,PGE,Poland,Europe,True,Esports Academy
Pick Me Galio,PMG,,North America,False,
PIGSPORTS,PIG,,Europe,True,
Ping is the Problem,PIP,,North America,True,
Pirate Dream,PD,Ecuador,Latin America,True,Pirates IDV
Pirates IDV,IDV,Ecuador,Latin America,False,
Piratesports,ARR,Poland,EMEA,True,
Piratesports Academy,ARR.A,Poland,Europe,True,
PIRTS,PRT,,Europe,True,
Pixel Esports Club,PIX,,Latin America,True,
PKMaster,PKM,Taiwan,LMS,True,
PL Gaming,PL,Argentina,LAS,True,
Planetary Collision Esports,PCE,,North America,False,
Planetkey Dynamics,PKD,Germany,Europe,True,
PlaPro.c58,PPC58,Russia,CIS,True,
Play Again,PYN,Argentina,LAS,True,
Play With Soul,PWS,Czech Republic,Europe,True,
PlayArt Gaming,playArt,Brazil,Brazil,True,
Playing Ducks,PD,Germany,Europe,True,
Playing Ducks Europe,pD EU,Germany,Europe,True,
Plejehjemmet Kalder,PK,,Europe,True,
Pogoń Szczecin,POG,Poland,Europe,True,
Polar Ace,PA,,North America,True,
Polar Bears,PBR,,Europe,True,
Polar Squad Esports,PLS,Mexico,Latin America,False,
Polar Squad Esports Female,PLS.F,Mexico,Latin America,False,
Polaris Gaming,PG,Peru,Latin America,True,
Polska Gurom (EU Face-Off),POL,,Europe,True,
Pondok Gaming,Pondok,Indonesia,SEA,True,
Pookie Bears,BEAR,,North America,False,
Positive Energy,PE,China,China,True,
PostFinance Helix,PFX,Switzerland,Europe,True,
Power Team Sports,PWT,Brazil,Brazil,True,
Powned.it,PWN,,Europe,True,
Predators Academy,PDS.A,Costa Rica,Latin America,True,XTEN Mexico
Predators Esports,PDS,Mexico,Latin America,True,XTEN Esports
PRIDE (Polish Team),PRD,Poland,Europe,True,
PRIDE Academy,PRD.A,Poland,Europe,True,
PRIDE ESCA Academy,TEG.A,,Europe,True,
PrideFC,PFC,Europe,Europe,True,
PRIMATE,PMT,Argentina,Latin America,False,
Prime Clan,Prime,South Korea,Korea,True,
Prime Optimus,PO,South Korea,Korea,True,
PRINCIPALITY,PTY,Spain,EMEA,False,
PRO42,P42,Venezuela,Latin America,True,
Prodigy Esports,PRG,Brazil,Brazil,True,Vorax
ProGaming Esports,PRG,Brazil,Brazil,True,Prodigy Esports
Project Conquerors,PCS,France,EMEA,False,
Project Guardians,PG,Panama,Latin America,True,Gravity Elite
Project Sinners,PJS,,EMEA,False,
Protecting Guardians,PG,,Europe,True,Vigilantes
ProXima Gaming,PRX,Poland,Europe,True,
PSG Talon,PSG,Hong Kong,Asia Pacific,False,
PSG Talon Academy,PSG.A,Taiwan,Asia Pacific,False,
PSV Esports,PSV,Netherlands,Europe,True,
PSV Esports Academy,PSV.A,Netherlands,Europe,True,
Psykodelic Esports,PSK,Costa Rica,Latin America,True,
Public Enemy,PE,United Kingdom,Europe,True,
Pulse Esports,PS,North America,Europe,True,Departed
Pulse Gooners,PULS,,North America,False,
Pulse Star,PLS,,North America,False,
Pulse Star Academy,PSA,,North America,False,
Pulsia Esport,PL,France,Europe,True,Homyno Pulsia Esport
PunchLine Esport Club,pLine,France,Europe,True,
Puppies Esports,PES,Vietnam,Vietnam,False,
Purdue University,PU,,North America,False,
Purdue University Northwest,PNW,,North America,False,
Purple Haze Gaming,PH,Chile,LAS,True,
Pushing Gaming,PSH,Spain,Europe,True,
Pyrsos Esports,PRS,Greece,Europe,True,
QG Reapers,QGR,China,China,True,
Qiao Gu Reapers,QG,China,China,True,Newbee
Qing Jiu E-sport Club,Q9,China,China,True,
Qing Niao Yu Xing Game Team,QNG,China,China,True,
QLASH,QLS,Italy,EMEA,False,
QLASH Forge,Q4G,Italy,Europe,True,
QLASH Forge Academy,QFA,Italy,Europe,True,
QLASH MENA,QLM,Egypt,MENA,False,
QLASH Midnight,QLS.M,Italy,EMEA,True,
QLASH Spain,QLS,Italy,Europe,True,
Qmistry,QSY,Germany,EMEA,True,
QTV Gaming,QG,Vietnam,Vietnam,False,
Quantic Gaming,QTC,North America,North America,True,
Quantum Vortex,QVX,,Europe,True,
QUT Tigers,QUT,Australia,Oceania,True,
Quvic E-Sports,QVC,South Korea,Korea,True,
QWER.GG,QWER,South Korea,Korea,True,
R-SIXTEAM,R6T,Poland,Europe,True,
R3volt,R3V,United Kingdom,EMEA,False,
RA'AD,RAAD,Egypt,EMEA,False,
RabbitFive,RBF,Japan,Japan,True,
Racoon (Italian Team),RCN,Italy,Europe,True,
Radiance,RAD,,North America,True,
RAGE,RAGE,,North America,True,
Rainbow Warriors,RW,Vietnam,Vietnam,True,
Raise Gaming,RG,Taiwan,LMS,True,
Raizen E-Sports,ZEN,Brazil,Brazil,True,Tropa Raizen
Raizen Kicks,RZN.KCS,Brazil,Brazil,True,
Raleigh Black Flame,RBF,,North America,True,
Ramboot Club,RBT,Spain,EMEA,False,
Ramo Awake Gaming,AWK,Colombia,Latin America,True,
Rampage,RPG,Japan,Japan,True,PENTAGRAM
Rampage Quintet,RPG Q,Japan,Japan,True,
RAMS,RAMS,Czech Republic,Europe,True,
Random 5,R5,,EMEA,False,
Ranking Esports,RK,Vietnam,Vietnam,False,
Rare Atom,RA,China,China,False,
Rare Atom Period,RAP,China,China,False,
Rascal Jester,RJ,Japan,Japan,True,FENNEL
Rascal Jester Academy,RJ.A,,Japan,True,FENNEL Academy
RATE Gaming,RATE,Denmark,EMEA,False,
Ravioli Ravioli,RR,,Europe,True,
RAWR ShadowZ Fan Club,SZFC,,North America,False,
Rayunion,RAY,China,China,True,
Razor's Edge Gaming,REG,Greece,Europe,True,
RBG Esports,RBG,,North America,True,
RCSC E-sport,RCSC,,Europe,True,
RCTIC eSports,RCTIC,Finland,Europe,True,
Reapers Gaming (Italian Organisation),RPS,Italy,EMEA,True,
Reason Gaming,RG,United Kingdom,Europe,True,
Rebels Anarchy,RANC,South Korea,Korea,True,Afreeca Freecs
Rebels Gaming,RBLS,Spain,EMEA,False,
Rebirth eSports,RBT,Chile,Latin America,True,
Reborn Esport,RBG,,Asia Pacific,False,
REC by Shadow,REC,,Europe,True,
RED Academy,RED.A,,Brazil,False,
Red Arrows Team,RedA,Colombia,LAN,True,
Red Bulls,RB,Europe,Europe,True,
RED Canids,RED,Brazil,Brazil,False,
Red Eye Esports,RDY,Peru,Latin America,False,
Red Rooster Team,RRR,Puerto Rico,Latin America,True,
ReDefy Esports,RD,United States,North America,True,
Redemption (North American Team),RDM,,North America,True,
Redemption Arc,RA,,North America,True,
Redemption eSports Porto Alegre,RDP,,Brazil,True,
Reflex Esport Club,RFX,France,Europe,True,
Reformed Gaming,RG,Greece,Europe,True,
Regular Team,RT,Colombia,Latin America,True,
Reign (European Team),RGN,Europe,Europe,True,
Rejects Gaming,RJX,Greece,Europe,True,Pentagon Rejects
Relic Esports,RLC,,Europe,True,Nash Ξquilibrium
Reload eSports,RLD,Australia,Oceania,True,
ReluminateGG,REL,,North America,False,
Renegades,REN,North America,North America,True,
Renegades of Hell,RoH,Chile,LAS,True,
Renegades: Banditos,RNB,Europe,Europe,True,Misfits Gaming
Rensga Academy,RNS.A,Brazil,Brazil,True,
Rensga Esports,RNS,Brazil,Brazil,True,
Repre Gold,RPG,Czech Republic,EMEA,True,
Resolve,RSV,United Kingdom,Europe,True,
Resolve Academy,RSV.A,United Kingdom,Europe,True,
Resolve Blue,RSV.B,United Kingdom,Europe,True,
Resolve NA,RSV.NA,United Kingdom,North America,True,
Respawn Esports,RSP,,Latin America,True,
Rest In Pepperonis,REST,Europe,Europe,True,
Resurgence,RSG,Singapore,Asia Pacific,True,
Retric eSports,Retric,Greece,Europe,True,
Return of the Middlesticks,ROTM,,North America,True,
Reven Esports,RVN,Mexico,Latin America,True,
Revenge (British Team),RVG,United Kingdom,Europe,True,
Revenge eSports,RvG e,Peru,LAN,True,
Revenger (Chinese Team),RVGR,China,China,True,
REVERSE Gaming,RGA,South Korea,Korea,True,
REViTAL BLACKTRAiNS,RBT,Czech Republic,EMEA,False,
Revival (North American Team),RVL,United States,North America,True,
Revolt Gentlemen E-Sports Club EUNE,RGESC EUNE,Turkey,Europe,True,
Revolt Gentlemen E-Sports Club EUW,RGESC EUW,Turkey,Europe,True,
Rex Regalis,REX,United States,North America,True,
RFLX Gaming,RFLX,United States,North America,True,
Rich Gang,RG,Australia,Oceania,True,
Rich Gang (Norwegian Team),RG,Norway,EMEA,False,
Riddle Esports,RDL,Norway,EMEA,True,
Riddle Esports Academy,RDLA,Norway,Europe,True,
Riddle NO,RDL,Norway,EMEA,False,
RIFT Esports,RIFT,Hungary,Europe,True,
Rift Rats,RR,Czech Republic,Europe,True,
Rift Sloths,RIFT,Luxembourg,EMEA,False,
Rigas In Paris,RIP,,EMEA,True,
Rise Gaming,RSE,Brazil,Brazil,False,
Rise Gaming Ignis,RISE.I,Brazil,Brazil,False,
Risen Esports,RSN,,North America,False,
Rising Dawn Esports,RDE,Sweden,Europe,True,
Rising On Gaming,ONR,Brazil,Brazil,True,
Rising Star Gaming,RSG,South Korea,Korea,True,Rising SuperStar Gaming
Rising SuperStar Gaming,RSG,South Korea,Korea,True,
RisingStars Gaming,RSG,China,China,True,
River Plate Gaming,RIV,,Latin America,True,
RMA e-Sports,RMA,Brazil,Brazil,True,Brave e-Sports
RMIT Redbacks,RMIT,Australia,Oceania,True,
RNL ROAR,ROAR,Germany,EMEA,False,
Roar (Chinese Team),RR,Canada,North America,True,
Robert Morris University Illinois,RMU,,North America,True,Roosevelt University
Robot E-Sports Team,BOT,Brazil,Brazil,True,
Rochester Institute of Technology,RIT,,North America,False,
Rock Bottom Esports,ROCK,,North America,True,
Rock Solid,RS,North America,North America,True,
Rockhead,RHD,South Korea,Korea,True,
RockTribeEsports,RTE,,North America,True,
ROG Esport,ROG,France,Europe,True,
Rogue (European Team),RGE,United States,EMEA,False,
Rogue Esports Club,REC,United States,Europe,True,AGO ROGUE
Rogue Stars,RGS,United States,Europe,True,
Rogue Warriors,RW,China,China,True,
Rogue Warriors Shark,RWS,China,China,True,
Romulea eSport,RML,Italy,Europe,True,
ROSSMANN Centaurs,ROSS,Germany,EMEA,False,
RoughNeX,RNX,Europe,Europe,True,
RoX (2014 CIS Team),RoX,Russia,CIS,True,
ROX COOL,ROX.A,South Korea,Korea,False,
ROX Tigers,ROX,South Korea,Korea,True,
Royal Bandits,RBE,Turkey,Turkey,True,Royal Youth
Royal Club,RYL,China,China,False,
Royal Club Tian Ci,RCTC,China,China,True,
Royal Gamers,RG,,Europe,True,
Royal Never Give Up,RNG,China,China,False,
Royal Paladin eSports,RPE,Argentina,LAS,True,
Royal Paladin eSports Eclipse,RPE.E,Chile,LAS,True,
Royal Penguins,RP,Peru,Latin America,True,
Royal Youth,RYL,Turkey,Turkey,True,NASR eSports Turkey
Royal Youth Academy,RY.A,Turkey,Turkey,True,
RPG-KINGDOM,RKNG,Japan,Japan,True,
RQS Esports,RQS,,EMEA,False,
RSC Anderlecht Esports,RSCA,,Europe,True,
RtN Gaming,RtN,Argentina,LAS,True,
Ruddy Esports,RUD,United Kingdom,EMEA,False,
RUDE GAME,RUDE,Brazil,Brazil,True,
RULE,RULE,Germany,Europe,True,Sprout (German Team)
Rulers Esports,RLS,Czech Republic,Europe,True,
RunAway,RNW,South Korea,Korea,True,
RusherX Gaming,RXG,Colombia,Latin America,True,
Russian Force,RF,Russia,CIS,True,
Ruzeh Esports,RZH,,EMEA,False,
S2N Esports Club,S2N,Uruguay,Latin America,True,
S2V Esports,S2V,Spain,Europe,True,
S2V Esports Academy,S2V.A,Spain,Europe,True,
S2V Esports Female,S2V.F,Spain,Europe,True,
Sahara Warriors,SW,Morocco,MENA,True,
Saigon Buffalo,SGB,,Vietnam,True,Vikings Esports (2023 Vietnamese Team)
Saigon Fantastic Five,SF5,Vietnam,SEA,True,
Saigon Jokers,SAJ,Vietnam,SEA,True,
Saigon Mongaming,SGM,Vietnam,SEA,True,
Saikyo Makinyan,SKM,Japan,Japan,True,
SAIM SE,ŠSE,Serbia,Europe,True,
SAIM SE SuppUp,SSU,Serbia,Europe,True,
Saint Gaming,SAT,China,China,True,
Saint Louis University,SLU,,North America,False,
Salade Tomate Oignon,STO,France,Europe,True,
Salvage Javelin,SJ,Japan,Japan,True,
Samadder Gaming,SMG,North America,North America,True,
SAMCLAN Esports Club,SAM,Portugal,EMEA,False,
Sample Text,Sample,Poland,Europe,True,
Samsung Blue,SSB,South Korea,Korea,True,
Samsung Galaxy,SSG,South Korea,Korea,True,
Samsung Morning Stars,SMS,Italy,Europe,True,
Samsung White,SSW,South Korea,Korea,True,
Samurai in Jeans,SAMU,Europe,Europe,True,
San Jose State University,SJSU,,North America,False,
Sangal Esports,SNG,Turkey,Europe,True,
SanHe Gaming,SHG,,China,True,
Sansin Gavin,SSG,Taiwan,Asia Pacific,False,
Santiago Wanderers eSports,SW,,Latin America,True,
Santos Dexterity,S deX,Brazil,Brazil,True,Dexterity Team
Santos e-Sports,SAN,Brazil,Brazil,True,
Saprissa Esports,SAP,Costa Rica,Latin America,True,
Satori,Satori,Mexico,LAN,True,
Satori Red,Satori.R,Mexico,LAN,True,
Savage (Latin American Team),SVG,Argentina,Latin America,True,
Savannah College of Art and Design,SCAD,,North America,False,
SAW (Portuguese Team),SAW,Portugal,EMEA,True,
SBENU Korea,SBK,South Korea,Korea,True,
SBTC Esports,SE,Vietnam,Vietnam,True,
SBTC Esports Academy,SEA,Vietnam,Vietnam,False,
SCARZ,SZ,Japan,Japan,True,
SCARZ Burning Core,SZBC,Japan,Japan,True,
Scorpio Game,SG,China,China,True,
Scouting4ProScene,S4PS,,North America,False,
Se Loco Cachorreira,SLC,Brazil,Brazil,True,
Sea Dogs,SD,,North America,True,
SEA Serpents,SS,Thailand,SEA,True,
SeaDoggos,SEAD,Ukraine,CIS,True,
Seagate Hope,STX.H,Taiwan,LMS,True,
Seattle Ferocity,SF,United States,North America,True,
Sector 7,S7,,North America,True,
Sector One,S1,Belgium,EMEA,True,
Sector One Academy,S1.Acad,Belgium,Europe,True,
Sector One Black,S1B,Belgium,Europe,True,
Sector One Fox,S1.F,Belgium,Europe,True,
Seed 32,S32,,North America,False,
SEM9,S9,Malaysia,PCS,True,SEM9 WPE
SEM9 WPE,S9W,Malaysia,PCS,True,West Point Esports Philippines
Sengoku Gaming,SG,Japan,Asia Pacific,False,
Sengoku Gaming Academy,SG.A,Japan,Asia Pacific,True,
Senshi eSports (Benelux Team),SEN,Netherlands,EMEA,False,
Senshi Esports Club,SEC,Portugal,EMEA,False,
Sentinels ESC,SNT,Australia,Oceania,True,
SeolHaeOne Prince,SP,South Korea,Korea,True,
Seorabeol Gaming,SRB,South Korea,Korea,True,ESC Shane
Seoul Neon,SLN,South Korea,Korea,False,
SeQura ZEST,ZEST,Spain,EMEA,True,
Serena Five,S5,Chile,LAS,True,
Seven Wars e-Sports,7w,Brazil,Brazil,True,
Seven Wars Lyon,7w Lyon,Mexico,LAN,True,
SGA (Korean Team),SGA,South Korea,Korea,False,
ShaBoingBoing Esports,SBB,,North America,False,
Shadow Academy,SHA.A,South Korea,Korea,False,
Shadow Anyche,SDA,South Korea,Korea,True,
Shadow Battlica,SBT,South Korea,Korea,True,
Shadow Battlica Y,SBY,South Korea,Korea,True,
Shadow Boxing,SBX,South Korea,Korea,True,
Shadow Cool,SHA.CL,South Korea,Korea,True,
Shadow Corp,SHA,South Korea,Korea,False,
Shadow Cream,SC,China,China,True,
Shadow Dawn,SDD,South Korea,Korea,True,
Shadow Deeplol,SDP,South Korea,Korea,True,
Shadow Dreamer,SD,South Korea,Korea,True,
Shadow EK,SEK,South Korea,Korea,True,
Shadow ELG,SELG,South Korea,Korea,False,
Shadow fOu,SFOU,South Korea,Korea,True,
Shadow GT,SHA.GT,South Korea,Korea,True,
Shadow IBJ,SIJ,South Korea,Korea,True,
Shadow LNG,SLNG,South Korea,Korea,True,
Shadow New,SNEW,South Korea,Korea,True,
Shadow RGS,RGS,South Korea,Korea,True,
Shadow SF,SSF,South Korea,Korea,True,
Shadow Zero,SZR,South Korea,Korea,True,
Shadowban,SWB,Spain,Europe,True,
Sharks Esports Team,SHK,Portugal,Europe,True,
SHEINOO,SN,China,China,True,
Sheng Jie Gaming,SJG,China,China,True,
Shih Hsin Meow Meow,SHU,Taiwan,Asia Pacific,True,
Shining Stars,SST,Spain,EMEA,True,
Shock Gaming,Shock,,Brazil,True,
Shopify Rebellion,SR,Canada,North America,False,
Shot 2 Kill,S2K,,MENA,True,
ShowTime,ST,China,China,True,
Shu Dai Xiong Gaming,SDX,,China,True,
Si Yi Xuan E-Sport,SYX,China,China,True,
Sick Ducks,6DK,Thailand,SEA,True,
Sign Us Please,SUP,,North America,True,
Silent Revolution Gaming,SRG,,EMEA,True,
SILENTGAMING,SLNT,Switzerland,Europe,True,
Silver Crows,SC,South America,LAN,True,
Silver Wolves,SW,Belgium,EMEA,True,
Simon Fraser University,SFU,Canada,North America,False,
Simplicity Esports,SMP,North America,North America,True,
Simplicity Gaming,SPL,Tunisia,MENA,False,
Simplicity Gaming Elite,SPL.E,Tunisia,MENA,True,
Sin Academy,SNA,Australia,Oceania,True,
Sin Gaming,SIN,Australia,Oceania,True,
Sinelight,SL,Thailand,SEA,True,
Singapore Sentinels,SGS,Singapore,SEA,True,
Single Target Healing,STH,,North America,True,
Sinisters,SNS,Argentina,Latin America,True,
SINNERS Esports,SIN,Czech Republic,EMEA,True,
Sinners Never Sleep,SNS,Europe,Europe,True,
SinoDragon Gaming,SDG,,China,True,Dominus Esports
SinoDragon Prince,SDP,,China,True,Dominus Esports Young
Six Karma,6K,Mexico,Latin America,False,
SK Gaming,SK,Germany,EMEA,False,
SK Gaming Avarosa,SK.A,Germany,EMEA,False,
SK Gaming Prime,SKP,Germany,EMEA,False,
SK Telecom T1,SKT,South Korea,Korea,True,T1
SK Telecom T1 K,SKT K,South Korea,Korea,True,
SK Telecom T1 S,SKT S,South Korea,Korea,True,
Skull Cracker,SKC,,Latin America,True,
Sky Gaming,SGD,Vietnam,Vietnam,True,
Slash Lions,SL,Tunisia,EMEA,False,
Slaughter House,SH,,North America,True,
Sleepy Callers,EEPY,,North America,True,
SLO REJECTS,SLR,,Europe,True,
SLR,SLR,Greece,Europe,True,
Smash It Down,SID,South Korea,Japan,True,
Smoke Tram,SMKTM,Brazil,Brazil,False,
Smoking Hot Candies,SHCS,Malaysia,SEA,True,
Snake Esports,SS,China,China,True,LNG Esports
Snake Honor Esports,SHE,China,China,True,
Snake WuDu,SWD,,China,True,LNG Academy
SNOGARD Dragons,SNO,Germany,Europe,True,
SNOOZE Esports,SNZ,Luxembourg,EMEA,False,
Snowman Slammers,SNOW,,North America,True,
Society of Worth Assessing Gentlemen,S.W.A.G.,North America,North America,True,
SolaFide Esports,SF,,North America,True,
SolarWind,SOL,Europe,CIS,True,
Solary,SLY,France,EMEA,False,
Solary Academy,SLY.A,France,EMEA,False,
Solary Legends,SLY.L,France,Europe,True,
Solwing Esports,sW,,Europe,True,Aethra Esports
Sons of Tzu Gaming,TZU,Brazil,Brazil,True,
Sour Savoury,SrS,United Kingdom,Europe,True,
SOVEJA,SVJ,Romania,Europe,True,
Sovereign,SVR,Singapore,SEA,True,
Sovereign Black,SVB,Singapore,SEA,True,Sovereign
Sølvkikkert Esports,SØK,Denmark,Europe,True,Ventus Esports
Space eSports,SPE,Mexico,LAN,True,
Spain5,SP5,Spain,Europe,True,
Spandauer Inferno,SPIN,Germany,Europe,True,
Sparx Esports,SPX,Switzerland,Europe,True,
Spear Gaming,SPG,South Korea,Korea,False,
Spectacled Bears,SB,Peru,Latin America,False,
SPGeSports,SPG,Switzerland,Europe,True,
Spicy Gorillas,SCG,,EMEA,True,
SPIKE Syndicate,SPK,Slovenia,EMEA,False,
Spinebusters E-Sport,SP,Germany,EMEA,False,
Spirituals,STS,Colombia,Latin America,False,
Split Raiders,STR,Croatia,Europe,True,
Splyce,SPY,Canada,Europe,True,MAD Lions
Splyce Vipers,SVP,Canada,Europe,True,
Sport Boys Association,SBA,Peru,Latin America,True,
Sprout (German Team),SPT,Germany,EMEA,True,
Spy Dolphins,SD,Chile,LAS,True,
SQUARE (Korean Team),SQ,South Korea,Korea,True,
Square Duck,SQUA,North America,North America,True,
Srdce nehasnou,SN,Czech Republic,Europe,True,
St. Clair College,SCC,,North America,False,
Stade Tunisien Esports,ST,Tunisia,EMEA,False,
Stand Point Gaming,SPG,China,China,True,
STAR (Russian Team),STAR,Russia,CIS,True,
Stardust (Korean Team),STD,South Korea,Korea,True,APK Prince
Starlan Gaming Club,SGC,,Europe,True,
Starlan Gaming Club Academy,SGC.A,,Europe,True,
Stars (LCF Team),Stars,Europe,Europe,True,
StarTale,ST,South Korea,Korea,True,
State University of New York at Buffalo,UB,,North America,False,
Steak Frites,SDF,,North America,True,
SteelWolves Gaia,XSW,Philippines,SEA,True,
Steve Bakes Cookies,STEV,Europe,Europe,True,
Stone Movistar,STM,Argentina,Latin America,True,
STOPWATCH eSports (Czech Team),STW,Czech Republic,EMEA,True,
Storm (North American Team),STR,United States,North America,True,
Storm Games Clan,SGC,Slovakia,Europe,True,
Storm Teams,STT,Taiwan,Asia Pacific,False,
Stormbringers,STB,Spain,EMEA,False,
STRAT Esport,STRAT,France,Europe,True,
STRAW,STRAW,Italy,EMEA,False,
Straw Hat Crew,SHC,,North America,False,
Striking Vipers,SV,United States,North America,True,
Striking Vipers Champions,SVC,United States,North America,True,
Striking Vipers Maestros,SVM,United States,North America,True,
STXP,STXP,,North America,True,
Submarines,SMR,Taiwan,LMS,True,
Submarino Stars,SUB,Brazil,Brazil,True,
Sudden Fear,SF,Australia,Oceania,True,
Summon Aery (Lebanese Team),SA,Lebanon,MENA,True,
Suning,SN,China,China,True,
Suning-S,SNS,China,China,True,
Suns Gos Hawk,SGH,Taiwan,LMS,True,
SunSister ReUnion,SSR,Japan,Japan,True,
SUPA HOT CREW,SHC,Europe,Europe,True,
Supay Gaming,SGM,Chile,Latin America,True,
Super Nova Academy,SN.A,North America,North America,False,
Super Nova Sentinels,SN.S,,North America,True,
Super Star Destroyers,SSD,Vietnam,Vietnam,True,
