Player,Country,Birthdate,ResidencyFormer,Team,Residency,Role,FavChamps,RoleLast,IsRetired,ToWildrift,Birthdate__precision,AllName
Krouss,Chile,,,,Latin America,Support,,Support,True,False,,Krouss
Krow,Brazil,,,,Brazil,Jungle,,Jungle,True,False,,Krow
KRP,Sweden,,,,Europe,Support,"Janna,Lulu,Alistar,Thresh",Support,True,False,,KRP
Krpy,Czech Republic,,Europe,,EMEA,Top,,Top,False,False,,Krpy
Kruimel,Netherlands,1995-04-23,Europe,,EMEA,Mid,"Viktor,Malzahar,Ziggs,Taliyah",Mid,False,False,1.0,Kruimel
Kruppi,France,,Europe,,EMEA,Support,,Support,False,False,,Kruppi
Krush,South Korea,2002-02-15,,,Korea,Support,,Support,True,False,1.0,Krush
Krvavy,South Korea,1995-10-26,,,Korea,Coach,,Coach,False,False,1.0,Krvavy
Kryder,Belgium,,Europe,,EMEA,Bot,,Bot,False,False,,Kryder
Krykiet,Poland,1995-08-21,,,Europe,Bot,,Bot,True,False,1.0,"Krykiet, Crykee"
KryRa,Canada,2005-08-14,,CCG Esports,North America,Jungle,,Jungle,False,False,1.0,KryRa
Krysia,Poland,,Europe,,EMEA,Jungle,Nidalee,Jungle,False,False,,"Krysia, Chris (Krystian Dobrzański)"
kRYST4L,China,1994-02-02,,,China,Bot,,Bot,True,False,1.0,"KRYST4L, F4n2Fan"
Krystof,Czech Republic,2000-08-15,,,EMEA,Support,,Support,False,False,1.0,"Krystof, Kryštøf"
krytybu,Norway,,Europe,DMG Esports Norway,EMEA,Top,,Top,False,False,,Krytybu
Kryze,Sweden,1999-07-01,Europe,Solary,EMEA,Top,,Top,False,False,1.0,Kryze
Kryzpo,Chile,2000-09-30,Latin America South,,Latin America,Top,"Sion,Urgot,Jayce,Gnar",Top,False,False,1.0,Kryzpo
Krzysztof (CIS Player),,,,,Europe,,,Bot,True,False,,Krzysztof (CIS Player)
ks9999,Serbia,,,,Europe,Jungle,,Jungle,True,False,,Ks9999
KSAEZ,Turkey,2000-11-12,Turkey,Beşiktaş Esports,EMEA,Mid,,Mid,False,False,1.0,KSAEZ
Kshuna,United States,,,,North America,Bot,,Bot,True,False,,Kshuna
Ksvrostov,Russia,,,,CIS,Top,,Top,True,False,,Ksvrostov
KT (August Strom),Sweden,,Europe,,EMEA,Bot,,Bot,True,False,,KT (August Strom)
Ktrox,Colombia,2003-02-14,,Dark Project,Latin America,Coach,,Assistant Coach,False,False,1.0,Ktrox
ktsmurf,Canada,1997-12-04,,,North America,Mid,,Mid,True,False,1.0,"Ktsmurf, Kt Smurf, LoveLova"
KTSR,Turkey,2000-07-24,,,Turkey,Top,,Top,True,False,1.0,KTSR
KÜ,Chile,2001-06-21,,,Latin America,Mid,,Mid,True,False,1.0,KÜ
KuanG,China,,,,China,Jungle,,Jungle,True,False,,KuanG
Kubax,Guatemala,1998-05-21,,,Latin America,Coach,,Head Coach,True,False,1.0,Kubax
Kubík,Czech Republic,,,,Europe,Support,,Support,True,False,,Kubík
Kubis,Czech Republic,,,,Europe,Bot,,Bot,True,False,,Kubis
Kubon,Poland,1993-03-09,Europe,,EMEA,Top,"Irelia,Jax,Ryze,Elise,Riven,Gragas",Top,False,False,1.0,"Kubon, KubonBG"
Kubu,Hungary,1998-05-26,Europe,,EMEA,Top,,Top,False,False,1.0,"Kubu, Kußu, Xodiaz"
kubYD,Poland,1995-11-26,Europe,,EMEA,Support,,Support,False,False,1.0,KubYD
Kucho,Peru,1993-06-10,,,LAN,Support,"Nidalee,Lee Sin,Thresh",Support,True,False,1.0,Kucho
Kuchta,Czech Republic,,Europe,,EMEA,Coach,,Head Coach,False,False,,Kuchta
Kuddurs,Czech Republic,,,,Europe,Support,"Thresh,Soraka",Support,True,False,,"Kuddurs, Kundus"
Kuderic,United States,,,,North America,Mid,,Bot,True,False,,Kuderic
Kudo (Nguyễn Minh Hiếu),Vietnam,2004-11-08,,,Vietnam,,,Mid,False,False,1.0,Kudo (Nguyễn Minh Hiếu)
Kudol,Vietnam,,Southeast Asia,,SEA,Support,,Support,True,False,,"Kudol, Shinichi"
Kudy,,1998-09-09,,,EMEA,Jungle,"Elise,Graves,Olaf,Xin Zhao",Jungle,False,False,1.0,Kudy
Kuhz,United States,1999-10-18,,Ohio Northern University,North America,Support,"Leona,Galio,Sett,Senna,Blitzcrank",Support,False,False,1.0,Kuhz
Kui,China,2001-07-01,,,China,Jungle,,Jungle,False,False,1.0,Kui
Kujaa,France,,,,Europe,Support,"Zyra,Lulu,Nami",Support,True,False,,Kujaa
Kujo,,,,,EMEA,Top,,Top,False,False,,"Kujo, Kuujo"
Kukie,Latvia,,,,Europe,Bot,,Bot,True,False,,Kukie
KuKu,Macao,1996-09-01,,,LMS,Mid,,Mid,True,True,1.0,KuKu
KuKuKu,Taiwan,,,,LMS,Mid,,Mid,True,False,,KuKuKu
Kulacs,Hungary,,,,Europe,Top,,Top,True,False,,Kulacs
Kulit,Philippines,,,,SEA,Jungle,,Jungle,True,False,,"Kulit, Makulit"
Kull,Taiwan,,,,PCS,Top,,Top,False,False,,Kull
Kulo,Australia,,,,Oceania,Top,,Top,True,False,,Kulo
Kulvas,Czech Republic,2001-07-09,Europe,,EMEA,Top,"Aatrox,Urgot,Camille,K'Sante",Top,False,False,1.0,Kulvas
Kuly,Czech Republic,2003-06-19,,,EMEA,Mid,,Mid,False,False,1.0,"Kuly, Humornicek"
Kulz,Vietnam,1997-07-27,,FPT Hanoi,Vietnam,Support,,Support,True,True,1.0,"Kulz, Trường Giang (Kulz)"
Kuma (Bernardo Louzada),Brazil,,,w7m esports,Brazil,Coach,,Head Coach,False,False,,Kuma (Bernardo Louzada)
Kuma (Park Hyeon-gyu),South Korea,2000-11-14,,,Korea,Jungle,,Jungle,False,False,1.0,Kuma (Park Hyeon-gyu)
Kumai,Belgium,,,,Europe,Top,,Top,True,False,,Kumai
Kumaiy,Spain,,Europe,,EMEA,Bot,"Kai'Sa,Xayah,Vayne",Bot,False,False,,Kumaiy
Kumamon,China,1998-01-22,,,China,Jungle,,Jungle,True,False,1.0,"Kumamon, Kyrie (Xing Zhi-Bin), Wanyi"
KuMaMoTo,Laos,1994-02-05,Southeast Asia,,SEA,Mid,"Fizz,Zed,Cassiopeia,LeBlanc",Mid,True,False,1.0,"KuMaMoTo, KuMa (Vilayouth Vongthilath), Vilayouth"
Kumew,Argentina,2005-01-17,,,Latin America,Coach,,Assistant Coach,False,False,1.0,Kumew
Kumo,China,2000-03-09,,,North America,Top,Riven,Top,False,False,1.0,"Kumo, League, Shiro (Ziqing Zhao)"
kumru,Turkey,,,,Turkey,Jungle,,Jungle,True,False,,Kumru
kun (Dong Zhen-Shuo),China,,,,China,Bot,,Bot,True,False,,Kun (Dong Zhen-Shuo)
Kun (Kwon Oh-seong),South Korea,1995-12-08,,,Korea,Coach,,Assistant Coach,False,False,1.0,"Kun (Kwon Oh-seong), Backsoo, Kwon Oh-seong"
Kuna,Macao,2000-05-21,Taiwan,,LMS,Top,,Top,True,False,1.0,"Kuna, Na"
Kunduz,Turkey,,Turkey,,EMEA,Mid,,Mid,True,False,,Kunduz
Kunemi,Argentina,2003-04-07,,,Latin America,Top,,Top,True,False,1.0,Kunemi
Kungen,Sweden,,,,Europe,Bot,,Bot,True,False,,"Kungen, Knugen"
Kunisu,Japan,,,,Japan,Mid,,Mid,True,False,,"Kunisu, AkiKuni"
Kuno,Australia,,,,Oceania,Bot,,Bot,True,False,,Kuno
Kunou,Colombia,2000-09-15,Latin America North,,Latin America,Support,"Pyke,Thresh,Rakan,Akali",Support,True,False,1.0,Kunou
Kupz,Philippines,,,,SEA,Jungle,,Jungle,True,False,,"Kupz, Kuppzzzzz, Kupzz, Kupzzzzz"
Kurahuto,Japan,,,DetonatioN FocusMe Academy,PCS,Support,,Support,False,False,,Kurahuto
kuraian,United States,,,,North America,Support,,Support,False,False,,Kuraian
Kurak,Australia,,,Ground Zero Gaming,Asia Pacific,Support,,Support,False,False,,Kurak
Kurama (Alp Eren Öğdem),Turkey,2005-05-08,Turkey,Only Heroes Academia,EMEA,Jungle,,Jungle,False,False,1.0,"Kurama (Alp Eren Öğdem), Kurama Cat"
Kurama (Santiago Meza),Colombia,,,,Latin America,Top,,Top,True,False,,"Kurama (Santiago Meza), ConejoMalo"
Kuray,Morocco,,,,,Mid,"Zed,LeBlanc,Syndra",Mid,True,False,,Kuray
Kurbax,Serbia,,,KAOS e-sport,EMEA,Mid,,Mid,False,False,,Kurbax
Kurckoo,Argentina,2001-03-17,,WAP Esports Academy,Latin America,Jungle,,Jungle,False,False,1.0,Kurckoo
Kurd,South Korea,,,,Korea,Top,,Top,True,False,,"Kurd, 강영환"
Kure,Argentina,2000-06-30,,Team Evermeet,Latin America,Coach,,Head Coach,False,False,1.0,Kure
Kuremento,Singapore,,,,SEA,Jungle,,Jungle,True,False,,Kuremento
Kureyami,United States,1996-10-13,,,North America,Top,"Shen,Renekton,Rengar,Zed",Top,True,False,1.0,Kureyami
Kurfyou,United States,,,,North America,Bot,,Bot,False,False,,Kurfyou
Kuri,South Korea,2000-08-08,,paiN Gaming,Korea,Support,"Thresh,Rakan",Support,False,False,1.0,"Kuri, Doran (Choi Won-yeong)"
Kurian,Canada,,,,North America,Jungle,,Jungle,False,False,,Kurian
Kurilius,Spain,,Europe,Kawaii Kiwis,EMEA,Bot,,Bot,False,False,,Kurilius
Kuro,South Korea,1994-01-04,,,Korea,Analyst,"Kassadin,Viktor,Syndra,Lulu",Analyst,False,False,1.0,Kuro
Kuro (Daniel Kristiansen),Norway,,Europe,,EMEA,Top,,MC,False,False,,"Kuro (Daniel Kristiansen), StepUp"
Kuro (Sebastian Bravo),Chile,2003-08-21,,,Latin America,Mid,,Mid,True,False,1.0,Kuro (Sebastian Bravo)
Kuroko (Trần Tuấn Anh),Vietnam,1999-11-19,,,Vietnam,Jungle,Nidalee,Jungle,False,False,1.0,"Kuroko (Trần Tuấn Anh), Kurokyy, M1lo, Tráitimbướngbỉn"
Kurokuro,Vietnam,2001-01-07,,,Vietnam,Mid,,Mid,False,False,1.0,"Kurokuro, Chang chưa 18"
Kuromi,Belgium,2001-07-03,Europe,,EMEA,Support,,Support,False,False,1.0,"Kuromi, Titus (Seth Rochtus), Urcutegf69, Yourcutegf69"
Kuroneel,France,,Europe,Zerance,EMEA,Mid,,Mid,False,False,,Kuroneel
Kuruk,Argentina,1994-07-29,,,LAS,Jungle,"Thresh,Alistar,Braum,Annie",Jungle,True,False,1.0,Kuruk
kurulean,United States,,,University of California Irvine,North America,Support,"Thresh,Nautilus,Karma",Support,False,False,,Kurulean
Kusara,Colombia,,Latin America North,,Latin America,Owner,,Owner,True,False,,Kusara
Kush,Greece,,,,Europe,Bot,,Bot,True,False,,"Kush, Geosem"
Kushh,Mexico,,,,Latin America,Jungle,,Jungle,True,False,,Kushh
Kusho,United States,,,University of Minnesota Twin Cities,North America,Mid,,Mid,False,False,,Kusho
KusKusPanda,Bulgaria,,,,Europe,Support,,Support,True,False,,KusKusPanda
Kusuo,Singapore,,Southeast Asia,,Asia Pacific,Support,,Support,True,False,,"Kusuo, Faith (Jordan Lum), Rune (Jordan Lum), Slayer (Jordan Lum), Suoh"
Kutamo,Germany,1997-08-26,Europe,,EMEA,Bot,"Ezreal,Vayne,Ekko,Shen",Bot,True,False,1.0,"Kutamo, Pixl"
Kutarra,Panama,,LAN,,Latin America,Mid,,Mid,False,False,,Kutarra
Kutcher,,,Europe,VININE,EMEA,Support,"Bard,Thresh,Rakan,Pyke,Irelia,Akali",Support,False,False,,"Kutcher, Kutcherlol, Philly, Xeiv"
kuvvu,Poland,2007-09-08,,R3volt,EMEA,Bot,"Jinx,Ashe,Zeri",Bot,False,False,1.0,Kuvvu
Kux,Croatia,,Europe,,EMEA,Coach,,Positional Coach,False,False,,Kux
Kuyo,El Salvador,,,,Latin America,Coach,,Assistant Coach,False,False,,Kuyo
Kuzan,South Korea,1997-01-07,,,Korea,Mid,Lissandra,Mid,True,False,1.0,"Kuzan, Kuzan1"
Kvbixyz,Slovakia,,Europe,,EMEA,Bot,,Bot,False,False,,"Kvbixyz, Kubisubi"
Kveeykva,Brazil,,,,Brazil,Top,,Top,True,False,,Kveeykva
Kvothe,Chile,1997-01-26,Latin America South,,Latin America,Jungle,"Shaco,Kha'Zix,Ivern",Jungle,True,False,1.0,Kvothe
Kvrak,Brazil,,,,Brazil,Jungle,,Jungle,True,False,,Kvrak
Kvrof,Argentina,1994-10-31,,,LAS,Mid,"Gragas,Ziggs,Ezreal",Mid,True,False,1.0,Kvrof
kvw,Sweden,,Europe,,EMEA,Mid,,Mid,False,False,,Kvw
Kwan,Italy,1999-12-18,Europe,Baam Esports,EMEA,Coach,Shen,Coach,False,False,1.0,"Kwan, Kwanhyung"
kwanyoung,South Korea,,,Michigan State University,North America,Bot,,Bot,False,False,,Kwanyoung
Kwashi,Turkey,,Turkey,,EMEA,Bot,,Bot,True,False,,Kwashi
Kweezer,France,2001-04-01,Europe,,EMEA,Jungle,Zac,Jungle,False,False,1.0,Kweezer
Kweku,Australia,,,,Oceania,Top,,Top,True,False,,"Kweku, Sam (Sam Eyeson-Annan)"
Kwhite,Vietnam,2004-10-19,,,Vietnam,Bot,,Bot,False,False,1.0,Kwhite
Kwon,South Korea,,,,North America,Coach,"Janna,Lulu",Head Coach,True,False,,"Kwon, Konkwon"
Kx2,Taiwan,,,Hungkuang Falcon,Asia Pacific,Coach,,Coach,False,False,,"Kx2, K2 (Sung Pang-Chi), KK"
Kxeight,Saudi Arabia,1994-01-12,,,,Mid,Karthus,Mid,True,False,1.0,Kxeight
Kyanna,Slovenia,1997-08-25,Europe,Team GO Aurora,EMEA,Support,,Support,False,False,1.0,Kyanna
Kyara,South Korea,,,,Korea,Top,,Top,True,False,,"Kyara, Falcon (Choi Han-gyu)"
kyeahoo,South Korea,2005-08-13,,DRX,Korea,Mid,,Mid,False,False,1.0,"Kyeahoo, Yehoo"
KYER,Spain,,Europe,,EMEA,Coach,Thresh,Coach,False,False,,KYER
Kyle (Kyle Raposo),Canada,1997-06-10,,,North America,Bot,,Bot,True,False,1.0,"Kyle (Kyle Raposo), Shorthop"
Kyle (Seo Ji-seon),South Korea,,,,Korea,Mid,Jayce,Mid,True,False,,"Kyle (Seo Ji-seon), Ky1e (Seo Ji-seon), NaraKyle"
Kyleg00d,United States,,,,North America,Jungle,,Jungle,True,False,,Kyleg00d
Kylin,China,1990-12-22,,,China,Coach,,Head Coach,True,False,1.0,"Kylin, Lin (Tang Huang-Chao), Maidong, MD"
kylin (Wen Zheng),China,,,,China,Jungle,Lee Sin,Jungle,False,False,,Kylin (Wen Zheng)
kyllian,France,1997-08-25,,Ottawa University,North America,Top,,Head Coach,False,False,1.0,"Kyllian, Timal"
Kynetic,Germany,2000-05-24,Europe,,EMEA,Bot,,Bot,False,False,1.0,Kynetic
Kyo,Peru,,,,LAN,Mid,,Mid,True,False,,Kyo
Kyoby,Brazil,,,,Brazil,Mid,,Mid,True,False,,Kyoby
Kyojuro,Argentina,,,,Latin America,Jungle,,Jungle,False,False,,Kyojuro
Kyon,Chile,1999-08-21,,,Latin America,Support,"Pyke,Thresh,Blitzcrank",Support,True,False,1.0,"Kyon, Roxas (Juan Pablo Mora)"
Kyor,Chile,,,,Latin America,Top,,Top,True,False,,Kyor
Kyose,Australia,,Oceania,,Asia Pacific,Mid,,Mid,True,False,,Kyose
Kyoto,Mexico,,LAN,,Latin America,Mid,,Mid,False,False,,"Kyoto, Kiss shöt, Kiss Shot (Epxon Suanez), Kiss shot 9"
Kyoukai,France,,Europe,,EMEA,Coach,,Head Coach,False,False,,Kyoukai
Kyrie (Facundo González),Argentina,,,,LAS,Jungle,,Jungle,True,False,,Kyrie (Facundo González)
Kyriel,Spain,,,,Europe,Support,,Support,True,False,,Kyriel
Kyriu,United States,,,,North America,Bot,"Xayah,Jinx,Aphelios",Bot,True,False,,"Kyriu, Oriku"
Kyro,Greece,2000-03-10,Europe,,EMEA,Bot,,Bot,False,False,1.0,Kyro
KyroXx,France,,,,Europe,Bot,,Bot,True,False,,KyroXx
Kyste,Czech Republic,2001-05-11,,,EMEA,Bot,,Bot,False,False,1.0,Kyste
Kytra,Argentina,2000-03-02,,Estral Esports Aurora,Latin America,Mid,"Syndra,LeBlanc,Akali,Ryze",Mid,False,False,1.0,"Kytra, Camululis, Epika"
Kyu,France,,Europe,Colors Esport,EMEA,Support,,Support,False,False,,Kyu
Kyubi,Spain,,,,Europe,Mid,,Mid,True,False,,Kyubi
Kyuki,United States,,,,North America,Support,,Assistant Coach,False,False,,"Kyuki, Fuki"
kyuu,Austria,,,,Europe,Mid,,Mid,True,False,,"Kyuu, Kazu (Tobias Koch)"
Kyuuga,Portugal,,,,Europe,Jungle,,Jungle,True,False,,Kyuuga
Kyx,Belgium,,Europe,Once Upon A Team,EMEA,Bot,,Bot,False,False,,"Kyx, Lil Kyx"
KZ (Henrique Monteiro),Brazil,1998-02-17,,,Brazil,Top,,Top,True,False,1.0,"KZ (Henrique Monteiro), Kazhinzin, Pay, Pay No Mind"
Kz (Nicolás Gutiérrez),Chile,1998-12-15,Latin America South,,Latin America,Bot,"Ezreal,Graves,Tristana,Kalista",Bot,True,False,1.0,"Kz (Nicolás Gutiérrez), Aiden (Nicolás Gutiérrez), Kaoz"
Kzed,United Kingdom,,Europe,,EMEA,Bot,,Bot,False,False,,Kzed
Kzykendy,United States,,,,North America,Mid,Azir,Mid,False,False,,Kzykendy
L,Hong Kong,1996-09-04,,,LMS,Support,,Support,True,False,1.0,"L, Lick3n, Licken"
l0cked,Brazil,,,IME Wolves,Brazil,Top,"Aatrox,Zac",Top,False,False,,L0cked
L0ckie,Greece,1999-09-07,,,Europe,Bot,"Draven,Kog'Maw",Bot,True,False,1.0,"L0ckie, Buff, LOCKIE, Tsigas, Tsigas Wiles"
L0CUST,United States,1988-10-23,,,North America,Analyst,,Analyst,True,False,1.0,L0CUST
L0SER,Japan,2003-03-09,Japan,,Asia Pacific,Support,,Support,False,False,1.0,L0SER
L0wzy,Belgium,2002-07-28,Europe,,EMEA,Jungle,,Jungle,False,False,1.0,"L0wzy, Lowzy (Adam El Ghzabri), Lowzy1, Lwz, Lxwzy"
L1 (Julián González),Colombia,2007-05-10,,ODD Esports,Latin America,Support,,Support,False,False,1.0,L1 (Julián González)
L1BERO,China,,,,China,Jungle,,Jungle,True,False,,L1BERO
L1f,China,,,EDward Gaming Youth Team,China,Mid,,Mid,False,False,,"L1f, Lif"
L1k1de,France,,,,Europe,Bot,,Bot,True,False,,L1k1de
L1n,China,,,,China,Support,,Support,True,False,,"L1n, Chen ShiLin, Lin (Chen Shi-Lin)"
L1nops,Denmark,,Europe,,EMEA,Bot,,Bot,True,False,,"L1nops, Linops"
L1va,China,,,,China,Jungle,,Jungle,True,False,,L1va
L1zzie,China,,,,China,Top,,Top,True,False,,L1zzie
L2 Control,Sweden,2001-01-18,,,Europe,Jungle,"Rek'Sai,Zilean",Jungle,True,False,1.0,"L2 Control, L2Control, L2CTRL"
l3engee,Canada,,,,North America,Bot,,Bot,False,False,,L3engee
l3est16,China,2001-01-13,,,China,Jungle,,Jungle,True,False,1.0,L3est16
l3ird,United States,1987-05-25,,,North America,Caster,,Caster,True,False,1.0,L3ird
L3omda,Morocco,1994-03-03,,,EMEA,Coach,,Head Coach,False,False,1.0,L3omda
LA9,United States,,,,North America,Coach,Gangplank,Head Coach;Manager,True,False,,LA9
Laatch,Sweden,2001-04-24,Europe,,EMEA,Bot,,Bot,False,False,1.0,"Laatch, Cyber (Felix Melin), Julciaaa, Laa7ch"
Laba,Taiwan,1999-03-15,Taiwan,,Asia Pacific,Coach,"Rengar,Lee Sin,Nidalee",Coach,True,False,1.0,Laba
Labokop,Greece,,Europe,,EMEA,Caster,,Mid,False,False,,Labokop
Labrov,Greece,2002-02-12,Europe,Team BDS,EMEA,Support,"Thresh,Bard,Alistar,Pyke",Support,False,False,1.0,"Labrov, Labr0v, Labrovv"
Lac,Argentina,2001-04-21,,Undead Gaming,Latin America,Bot,"Ezreal,Kai'Sa,Vayne,Aphelios",Bot,False,False,1.0,"Lac, 1Lac"
Kev1n,Germany,1993-01-15,Europe,,EMEA,Top,"Irelia,Jax",Top,True,False,1.0,"Kev1n, Kevin (Kevin Rubiszewski)"
Kevaman,Republic of Ireland,1999-02-11,,,Europe,Bot,,Bot,True,False,1.0,Kevaman
Kevao,Brazil,,,,Brazil,Support,,Support,True,False,,Kevao
Kevd,United Arab Emirates,1997-08-11,,,EMEA,Mid,"Twisted Fate,Orianna,Syndra,Qiyana",Mid,True,False,1.0,"Kevd, Keivan"
keve,Slovakia,2002-12-13,Europe,,EMEA,Jungle,"Kindred,Nidalee,Aphelios",Jungle,True,False,1.0,Keve
Kevender,Canada,,,York University,North America,Jungle,Taliyah,Jungle,False,False,,Kevender
Kevin (Kevin Miller),Japan,1995-04-20,Japan,CTBC Flying Oyster Academy,Asia Pacific,Coach,Sona,Coach,False,False,1.0,"Kevin (Kevin Miller), Kevin Miller, KM, KMT (Kevin Miller)"
Kevin (Kevin Nguyen),United States,,,,North America,Top,,Top,True,False,,Kevin (Kevin Nguyen)
Kevin (Lee Sang-jun),South Korea,,,,Korea,Mid,Veigar,Mid,True,False,,Kevin (Lee Sang-jun)
Kevy,Australia,2000-11-22,North America,Team Bliss,Asia Pacific,Jungle,,Jungle,False,False,1.0,Kevy
Key,South Korea,1997-06-20,,,Korea,Coach,Bard,Coach,False,False,1.0,"Key, TML"
Keyblade,Turkey,,,,EMEA,Top,,Top,False,False,,Keyblade
Keycraftsman,Netherlands,,Europe,RQS Esports,EMEA,Support,,Support,False,False,,"Keycraftsman, Keycraftman, Viking (Nick Van Dongen)"
KeYi,China,,,,China,Support,,Support,True,False,,KeYi
Keymaker,Japan,1996-03-21,,,Japan,Bot,Twitch,Bot,True,False,1.0,"Keymaker, H1RoN, HiRoN"
Keynik,Iran,,,,,Jungle,,Jungle,True,False,,Keynik
Keys,United Kingdom,,,,Europe,Top,,Top,True,False,,Keys
Keysie,Russia,1997-08-05,,,CIS,Mid,,Mid,True,False,1.0,Keysie
Kez,United States,1994-03-30,,,North America,Jungle,"Lee Sin,Elise",Jungle,True,False,1.0,"Kez, KOR Kez, Korkez"
Kezman,South Korea,1983-04-06,,,Korea,Manager,,General Manager,False,False,1.0,Kezman
Kezzeret,Russia,1995-05-14,,,CIS,Coach,"Brand,Galio,Karthus,Fizz",Coach,True,False,1.0,Kezzeret
KFCgenerous,Poland,,Europe,,EMEA,Top,,Top,False,False,,"KFCgenerous, Alchemik"
kfo,South Korea,,,,Korea,Top,"Vladimir,Fiora,Riven",Top,True,False,,Kfo
KH,Taiwan,,,,Asia Pacific,Bot,Draven,Bot,False,False,,"KH, Meowkk, Milo (Lu Kuan-Hua)"
Khaaevo,Spain,2004-04-26,Europe,,EMEA,Jungle,,Jungle,False,False,1.0,Khaaevo
Khada,Netherlands,1998-05-03,Europe,,EMEA,Bot,,Bot,False,False,1.0,"Khada, GoldenExcellence"
Khaegan,Albania,1998-12-23,,,Europe,Jungle,"Graves,Evelynn,Lee Sin",Jungle,True,False,1.0,Khaegan
Khaendis,Costa Rica,,,,Latin America,Bot,,Bot,True,False,,Khaendis
Khải Nguyễn,Vietnam,2000-12-13,,Vietnam Championship Series,Vietnam,Caster,"Vayne,Caitlyn,Jinx",Caster,False,False,1.0,Khải Nguyễn
khaii,Vietnam,2002-08-01,,,North America,Top,"Riven,Irelia,Camille",Top,False,False,1.0,Khaii
Khal,Poland,2003-04-08,Europe,,EMEA,Jungle,Taliyah,Jungle,False,False,1.0,"Khal, Banan"
khalid (Khalid Waleed Albalushi),Oman,2004-03-09,,,EMEA,Mid,"Sylas,Syndra,Jayce",Support,False,False,1.0,"Khalid (Khalid Waleed Albalushi), Omani 1v9"
KhaliDino,United States,,,,North America,Support,,Support,True,False,,KhaliDino
Khalis,South Korea,1999-12-27,,,Korea,Top,,Top,False,False,1.0,Khalis
Khan,South Korea,1995-12-22,,Dplus KIA,Korea,Streamer,Jayce,Streamer,False,False,1.0,"Khan, Hanlabong"
khaN (Stuar Romero),Peru,1996-09-30,,,Latin America,Support,,Support,False,False,1.0,"KhaN (Stuar Romero), KhaN1996"
Khang,Sweden,,Europe,,EMEA,Bot,,Bot,False,False,,Khang
Khanh (Lê Quốc Khánh),Vietnam,,,Baby Whales,Vietnam,,,Jungle,False,False,,Khanh (Lê Quốc Khánh)
Khanh (Michael Luu),Denmark,,Europe,,EMEA,Bot,,Bot,False,False,,Khanh (Michael Luu)
Khantos,Romania,2001-06-06,Europe,,EMEA,Bot,,Bot,False,False,1.0,"Khantos, Keltra, XKhantos"
Khappaccino,United States,,,,North America,Bot,,Bot,False,False,,Khappaccino
Khattolk,Argentina,,,,LAS,Support,,Support,True,False,,Khattolk
Khaydarin,Germany,,Europe,Aurora (Belgian Team),EMEA,Bot,,Bot,False,False,,"Khaydarin, Desrim"
Khazio,Poland,,,,Europe,Bot,,Bot,True,False,,Khazio
Khema,Italy,1999-05-04,Europe,,EMEA,Jungle,"Rengar,Kha'Zix,Taliyah,Kindred",Jungle,False,False,1.0,"Khema, Khema1221, KhemaXD"
Kheriata,Italy,1996-07-27,,,Europe,Bot,,Bot,True,False,1.0,Kheriata
Kholio,Egypt,1997-04-01,,,EMEA,Broadcast Talent,"Sejuani,Kayn,Orianna,Nocturne",Head Coach,True,False,1.0,Kholio
Khomzar,Ukraine,,,,CIS,Top,"Camille,Akali,Yasuo",Top,True,False,,Khomzar
Khor,Mexico,1995-03-29,,,Latin America,Support,,Support,True,False,1.0,Khor
Khorix,Dominican Republic,,,,Latin America,Top,Camille,Top,True,False,,Khorix
Khorn,Brazil,1998-08-07,,FURIA Academy,Brazil,Coach,,Head Coach,False,False,1.0,Khorn
Khoru,Uruguay,,Latin America South,,Latin America,Jungle,,Jungle,True,False,,Khoru
Khrillz,Chile,,,,LAS,Jungle,,Jungle,True,False,,Khrillz
Khynm,Argentina,1995-05-15,Latin America South,Movistar R7,Latin America,Coach,"Lee Sin,Elise,Vi",Head Coach,False,False,1.0,Khynm
Kialys,Netherlands,,,,Europe,Support,,Support,True,False,,"Kialys, Zealot (Stefan Meijlink)"
Kiana,Norway,,Europe,,EMEA,Mid,,Mid,False,False,,Kiana
Kiao,Poland,,Europe,Fear x Starforge,EMEA,Coach,,Head Coach,False,False,,Kiao
Kiara (Kiara Nailea),Argentina,2005-07-15,,ODD Wara,Latin America,Streamer,,Mid,False,False,1.0,"Kiara (Kiara Nailea), Ijbiñi"
Kiari,Brazil,1999-11-30,,Fluxo,Brazil,Top,"Jayce,Aatrox,Twisted Fate",Top,False,False,1.0,Kiari
Kiaya,Vietnam,2001-05-17,SEA,GAM Esports,Vietnam,Top,"Renekton,Jayce,Gnar,K'Sante,Jax",Top,False,False,1.0,"Kiaya, Kiaya1, TRANlDS"
kibah,Denmark,2001-03-13,Turkey,,EMEA,Support,,Support,False,False,1.0,"Kibah, Bagzier, Batu, Bueongi, Ceikey"
Kibari,Germany,,Europe,TeamBasH Gaming,EMEA,Mid,,Mid,False,False,,"Kibari, Mad My Day"
Kick (João Rosas),Brazil,2000-03-01,,Fluxo Academy,Brazil,Support,,Support,False,False,1.0,"Kick (João Rosas), Kick a boo"
Kickless,Tunisia,,,,EMEA,Jungle,,Jungle,False,False,,Kickless
Kid,China,1997-08-23,,,China,Jungle,"Ezreal,Corki",Jungle,True,False,1.0,"Kid, KidKid"
Kid (Mai Tuấn Anh),Vietnam,,,,SEA,Top,,Top,True,False,,Kid (Mai Tuấn Anh)
Kid Cudi,Paraguay,1991-01-23,,,Brazil,Top,,Top,True,False,1.0,"Kid Cudi, DASLAYER"
